CounterpartyId,CounterpartyType,Country_CD,RiskRating,Status,CREATED_TS
CP000140,FUND,C21042,MEDIUM,ACTIVE,2021-09-09 16:41:18
CP000141,BANK,C28788,LOW,ACTIVE,2022-05-15 12:42:59
CP000142,BANK,C15775,HIGH,ACTIVE,2022-10-01 15:46:07
CP000143,CORP,C43731,MEDIUM,ACTIVE,2024-06-11 11:15:16
CP000144,FUND,C16384,MEDIUM,ACTIVE,2025-02-14 20:28:19
CP000145,CORP,C05290,MEDIUM,ACTIVE,2025-02-21 21:19:02
CP000146,CORP,C08214,MEDIUM,ACTIVE,2022-01-06 03:58:17
CP000147,BANK,C48923,MEDIUM,ACTIVE,2022-11-08 05:51:16
CP000148,BANK,C27824,MEDIUM,ACTIVE,2024-10-01 01:35:32
CP000149,BANK,C22409,MEDIUM,ACTIVE,2024-03-16 01:14:57
CP000150,CORP,C13144,LOW,ACTIVE,2023-04-29 02:28:27
CP000151,FUND,C02335,HIGH,ACTIVE,2021-07-26 09:14:58
CP000152,FUND,C43926,LOW,ACTIVE,2025-08-11 04:42:14
CP000153,CORP,C33490,LOW,ACTIVE,2020-12-30 19:42:35
CP000154,CORP,C37110,MEDIUM,ACTIVE,2022-07-27 20:14:12
CP000155,FUND,C37293,HIGH,ACTIVE,2020-11-24 12:06:48
CP000156,BANK,C23696,MEDIUM,ACTIVE,2021-12-28 19:13:03
CP000157,FUND,C44724,MEDIUM,ACTIVE,2023-07-08 20:39:16
CP000158,CORP,C25968,LOW,ACTIVE,2025-07-06 23:05:10
CP000159,BANK,C49971,LOW,ACTIVE,2021-05-14 19:46:12
CP000160,BANK,C04905,HIGH,ACTIVE,2022-06-27 04:59:30
CP000161,FUND,C03185,MEDIUM,ACTIVE,2020-04-04 15:40:35
CP000162,BANK,C08215,MEDIUM,ACTIVE,2023-12-24 13:09:54
CP000163,CORP,C29752,HIGH,ACTIVE,2023-09-03 21:01:17
CP000164,FUND,C49541,LOW,ACTIVE,2024-05-13 03:53:52
CP000165,CORP,C03154,LOW,ACTIVE,2022-01-26 05:16:21
CP000166,CORP,C32338,HIGH,ACTIVE,2023-09-20 13:44:17
CP000167,CORP,C02674,LOW,ACTIVE,2024-10-06 11:18:16
CP000168,FUND,C12363,LOW,ACTIVE,2022-12-12 20:47:45
CP000169,CORP,C08351,HIGH,ACTIVE,2021-05-29 02:27:02
CP000170,CORP,C24639,LOW,ACTIVE,2023-11-03 13:12:03
CP000171,BANK,C00735,LOW,ACTIVE,2021-12-21 16:58:46
CP000172,BANK,C08707,HIGH,ACTIVE,2022-12-05 03:56:30
CP000173,CORP,C31910,HIGH,ACTIVE,2024-04-16 06:39:46
CP000174,BANK,C45185,MEDIUM,ACTIVE,2023-03-02 17:52:08
CP000175,FUND,C17814,MEDIUM,ACTIVE,2025-09-11 00:00:00
CP000176,BANK,C15046,MEDIUM,ACTIVE,2020-01-12 16:21:14
CP000177,FUND,C27731,MEDIUM,ACTIVE,2022-02-06 20:31:45
CP000178,FUND,C44579,HIGH,ACTIVE,2024-12-16 08:44:54
CP000179,BANK,C03508,LOW,ACTIVE,2020-08-13 04:03:03
CP000180,BANK,C16400,LOW,ACTIVE,2022-09-06 21:02:02
CP000181,FUND,C42581,HIGH,ACTIVE,2020-07-21 17:37:06
CP000182,CORP,C36678,LOW,ACTIVE,2022-08-14 09:26:18
CP000183,CORP,C13142,HIGH,ACTIVE,2021-03-13 21:23:39
CP000184,CORP,C22857,LOW,ACTIVE,2022-07-15 21:00:12
CP000185,CORP,C13760,LOW,ACTIVE,2025-12-23 01:58:58
CP000186,BANK,C28408,HIGH,ACTIVE,2020-05-28 17:24:53
CP000187,BANK,C38203,MEDIUM,ACTIVE,2023-10-26 09:43:51
CP000188,FUND,C18285,MEDIUM,ACTIVE,2020-02-25 14:32:28
CP000189,FUND,C03536,MEDIUM,ACTIVE,2022-05-10 06:15:33
CP000190,CORP,C00295,MEDIUM,ACTIVE,2024-12-30 21:44:28
CP000191,FUND,C13517,LOW,ACTIVE,2025-02-17 20:28:15
CP000192,BANK,C49975,MEDIUM,ACTIVE,2025-01-08 13:22:18
CP000193,CORP,C11600,LOW,ACTIVE,2022-04-28 19:43:14
CP000194,CORP,C36617,MEDIUM,ACTIVE,2023-09-19 12:58:28
CP000195,CORP,C29905,HIGH,ACTIVE,2022-09-11 03:22:18
CP000196,FUND,C28834,LOW,ACTIVE,2025-12-05 19:54:31
CP000197,CORP,C09609,LOW,ACTIVE,2022-04-03 00:32:24
CP000198,BANK,C04906,LOW,ACTIVE,2025-02-24 03:14:43
CP000199,CORP,C20499,LOW,ACTIVE,2021-02-06 18:38:55
CP000200,FUND,C08911,LOW,ACTIVE,2024-11-20 05:55:09
CP000201,FUND,C39927,HIGH,ACTIVE,2023-09-05 03:25:51
CP000202,CORP,C02097,LOW,ACTIVE,2022-06-19 13:30:49
CP000203,CORP,C37979,MEDIUM,ACTIVE,2024-08-09 03:51:26
CP000204,FUND,C36680,MEDIUM,ACTIVE,2022-12-22 05:13:35
CP000205,BANK,C42956,HIGH,ACTIVE,2025-01-30 21:57:24
CP000206,BANK,C14536,HIGH,ACTIVE,2025-08-25 14:29:39
CP000207,CORP,C37039,LOW,ACTIVE,2025-06-04 15:14:04
CP000208,CORP,C04512,HIGH,ACTIVE,2024-08-24 04:33:01
CP000209,CORP,C35618,MEDIUM,ACTIVE,2020-06-13 22:32:01
CP000210,FUND,C38549,HIGH,ACTIVE,2024-01-20 01:20:15
CP000211,FUND,C07062,HIGH,ACTIVE,2022-11-11 18:19:27
CP000212,CORP,C07213,MEDIUM,ACTIVE,2022-01-28 00:55:15
CP000213,FUND,C09304,LOW,ACTIVE,2022-09-02 15:04:18
CP000214,FUND,C37091,MEDIUM,ACTIVE,2020-11-01 18:59:46
CP000215,BANK,C14086,HIGH,ACTIVE,2021-02-10 23:08:13
CP000216,FUND,C06158,MEDIUM,ACTIVE,2023-07-08 18:12:31
CP000217,CORP,C21447,LOW,ACTIVE,2021-04-12 16:30:06
CP000218,BANK,C11428,LOW,ACTIVE,2025-04-28 12:33:52
CP000219,FUND,C02363,LOW,ACTIVE,2024-05-16 06:18:39
CP000220,BANK,C26545,MEDIUM,ACTIVE,2021-06-06 09:14:18
CP000221,FUND,C02668,HIGH,ACTIVE,2021-05-10 06:52:23
CP000222,FUND,C04364,MEDIUM,ACTIVE,2020-11-29 19:05:02
CP000223,BANK,C26770,MEDIUM,ACTIVE,2024-11-03 12:00:31
CP000224,FUND,C31215,LOW,ACTIVE,2023-12-06 02:07:31
CP000225,CORP,C39216,LOW,ACTIVE,2025-08-25 16:11:31
CP000226,FUND,C27926,LOW,ACTIVE,2020-05-21 18:32:57
CP000227,BANK,C32654,MEDIUM,ACTIVE,2022-03-17 21:08:39
CP000228,BANK,C25783,MEDIUM,ACTIVE,2024-10-26 08:47:36
CP000229,FUND,C30055,LOW,ACTIVE,2024-07-18 13:40:15
CP000230,CORP,C07725,HIGH,ACTIVE,2022-01-07 23:09:07
CP000231,FUND,C11168,LOW,ACTIVE,2020-12-22 01:30:32
CP000232,FUND,C25143,MEDIUM,ACTIVE,2022-10-17 10:40:01
CP000233,FUND,C34412,MEDIUM,ACTIVE,2025-07-02 10:52:14
CP000234,FUND,C22801,MEDIUM,ACTIVE,2025-06-01 15:59:30
CP000235,CORP,C28227,MEDIUM,ACTIVE,2020-10-07 05:58:55
CP000236,FUND,C31034,HIGH,ACTIVE,2025-06-29 23:31:41
CP000237,CORP,C17539,LOW,ACTIVE,2020-01-04 14:28:09
CP000238,FUND,C28814,LOW,ACTIVE,2025-09-29 03:52:20
CP000239,CORP,C44702,HIGH,ACTIVE,2026-02-25 19:50:13
CP000240,FUND,C13057,HIGH,ACTIVE,2022-05-23 21:49:10
CP000241,BANK,C32317,MEDIUM,ACTIVE,2022-05-31 13:43:32
CP000242,FUND,C34976,HIGH,ACTIVE,2020-07-16 21:47:05
CP000243,FUND,C38317,MEDIUM,ACTIVE,2025-12-04 09:22:22
CP000244,BANK,C15611,LOW,ACTIVE,2021-08-13 16:36:50
CP000245,BANK,C26033,LOW,ACTIVE,2020-09-18 03:30:41
CP000246,FUND,C46227,MEDIUM,ACTIVE,2020-08-24 20:29:02
CP000247,CORP,C35265,LOW,ACTIVE,2024-11-15 04:18:03
CP000248,BANK,C31718,MEDIUM,ACTIVE,2022-01-07 05:43:18
CP000249,BANK,C13632,LOW,ACTIVE,2022-02-16 15:43:02
CP000250,BANK,C04947,HIGH,ACTIVE,2025-06-04 14:40:53
CP000251,BANK,C00535,MEDIUM,ACTIVE,2022-11-19 23:56:27
CP000252,BANK,C10381,MEDIUM,ACTIVE,2024-10-04 17:13:09
CP000253,BANK,C36400,LOW,ACTIVE,2024-09-06 00:04:51
CP000254,FUND,C48740,MEDIUM,ACTIVE,2025-02-13 08:05:39
CP000255,FUND,C10152,LOW,ACTIVE,2023-01-11 07:10:11
CP000256,BANK,C31900,MEDIUM,ACTIVE,2024-01-04 06:40:02
CP000257,CORP,C41146,MEDIUM,ACTIVE,2021-05-23 07:39:39
CP000258,CORP,C28287,LOW,ACTIVE,2023-12-28 15:31:22
CP000259,CORP,C42981,MEDIUM,ACTIVE,2020-09-01 05:16:39
CP000260,FUND,C02646,LOW,ACTIVE,2023-03-15 00:24:30
CP000261,FUND,C00732,LOW,ACTIVE,2023-08-21 03:20:42
CP000262,FUND,C47309,LOW,ACTIVE,2022-01-18 09:39:40
CP000263,FUND,C19142,LOW,ACTIVE,2021-12-27 15:09:36
CP000264,BANK,C13392,HIGH,ACTIVE,2024-03-28 22:16:56
CP000265,BANK,C48161,LOW,ACTIVE,2023-10-10 15:17:24
CP000266,CORP,C44964,HIGH,ACTIVE,2024-06-18 09:15:14
CP000267,CORP,C19844,MEDIUM,ACTIVE,2020-12-24 00:45:52
CP000268,BANK,C43049,MEDIUM,ACTIVE,2021-06-15 01:50:32
CP000269,CORP,C02284,MEDIUM,ACTIVE,2021-12-23 14:53:28
CP000270,FUND,C02759,HIGH,ACTIVE,2021-04-17 16:58:42
CP000271,CORP,C47431,MEDIUM,ACTIVE,2020-02-02 18:08:26
CP000272,FUND,C14843,LOW,ACTIVE,2025-06-27 08:11:05
CP000273,CORP,C09517,HIGH,ACTIVE,2021-09-17 13:41:59
CP000274,FUND,C41055,LOW,ACTIVE,2023-08-17 16:15:11
CP000275,CORP,C30342,MEDIUM,ACTIVE,2022-02-07 18:02:04
CP000276,FUND,C47115,MEDIUM,ACTIVE,2025-10-26 10:08:20
CP000277,BANK,C06767,HIGH,ACTIVE,2023-02-22 05:13:56
CP000278,BANK,C07302,MEDIUM,ACTIVE,2023-04-06 01:11:01
CP000279,FUND,C46444,MEDIUM,ACTIVE,2023-12-03 20:13:28
CP000280,BANK,C20908,HIGH,ACTIVE,2021-12-19 17:39:26
CP000281,CORP,C16263,HIGH,ACTIVE,2022-03-23 03:32:58
CP000282,BANK,C10371,LOW,ACTIVE,2022-10-27 01:33:50
CP000283,FUND,C19867,MEDIUM,ACTIVE,2020-07-18 04:51:15
CP000284,BANK,C02093,HIGH,ACTIVE,2025-12-28 06:56:53
CP000285,CORP,C25276,MEDIUM,ACTIVE,2021-03-22 06:28:58
CP000286,FUND,C04975,LOW,ACTIVE,2024-08-27 07:43:10
CP000287,BANK,C23247,HIGH,ACTIVE,2021-07-04 15:22:49
CP000288,BANK,C12839,HIGH,ACTIVE,2020-10-01 18:33:13
CP000289,BANK,C03873,MEDIUM,ACTIVE,2025-08-09 12:57:20
CP000290,CORP,C43379,MEDIUM,ACTIVE,2024-02-23 05:47:38
CP000291,BANK,C26521,HIGH,ACTIVE,2025-02-11 04:05:47
CP000292,CORP,C08586,HIGH,ACTIVE,2025-05-09 21:04:54
CP000293,FUND,C23040,LOW,ACTIVE,2020-01-04 06:26:59
CP000294,CORP,C28820,HIGH,ACTIVE,2026-03-01 17:19:10
CP000295,BANK,C40735,HIGH,ACTIVE,2023-11-05 18:55:15
CP000296,FUND,C47818,MEDIUM,ACTIVE,2024-11-08 17:42:57
CP000297,BANK,C22742,HIGH,ACTIVE,2023-01-09 16:29:45
CP000298,BANK,C42683,MEDIUM,ACTIVE,2021-12-29 15:49:58
CP000299,CORP,C34371,HIGH,ACTIVE,2023-11-09 04:31:09
CP000300,BANK,C19795,HIGH,ACTIVE,2026-02-19 04:24:43
CP000301,CORP,C28635,HIGH,ACTIVE,2021-08-26 09:10:45
CP000302,FUND,C38709,LOW,ACTIVE,2026-01-23 22:37:18
CP000303,FUND,C12778,LOW,ACTIVE,2024-02-03 21:35:38
CP000304,FUND,C44681,LOW,ACTIVE,2022-04-25 11:42:59
CP000305,BANK,C10312,LOW,ACTIVE,2024-06-04 18:32:40
CP000306,CORP,C15362,HIGH,ACTIVE,2022-08-07 09:05:10
CP000307,BANK,C34590,LOW,ACTIVE,2020-01-05 14:19:43
CP000308,BANK,C40323,MEDIUM,ACTIVE,2021-01-25 05:07:03
CP000309,CORP,C04742,LOW,ACTIVE,2020-03-14 06:39:33
CP000310,BANK,C32527,HIGH,ACTIVE,2025-10-13 04:01:30
CP000311,FUND,C39951,MEDIUM,ACTIVE,2022-03-08 23:31:33
CP000312,CORP,C02417,HIGH,ACTIVE,2022-01-06 00:10:55
CP000313,FUND,C37132,HIGH,ACTIVE,2021-07-18 08:08:04
CP000314,BANK,C38611,HIGH,ACTIVE,2023-05-16 22:56:14
CP000315,BANK,C49911,HIGH,ACTIVE,2021-03-29 01:11:31
CP000316,FUND,C23747,HIGH,ACTIVE,2023-10-25 21:39:08
CP000317,BANK,C12511,HIGH,ACTIVE,2025-10-08 20:05:16
CP000318,BANK,C35925,MEDIUM,ACTIVE,2022-05-05 22:36:42
CP000319,CORP,C40573,MEDIUM,ACTIVE,2022-02-22 22:58:15
CP000320,CORP,C44011,MEDIUM,ACTIVE,2024-07-25 17:13:44
CP000321,FUND,C07867,HIGH,ACTIVE,2023-09-13 07:22:05
CP000322,BANK,C29956,LOW,ACTIVE,2022-08-26 03:06:37
CP000323,FUND,C13944,MEDIUM,ACTIVE,2021-05-28 20:34:28
CP000324,BANK,C12135,LOW,ACTIVE,2025-12-24 04:06:05
CP000325,CORP,C16120,LOW,ACTIVE,2020-07-15 22:02:28
CP000326,CORP,C41047,HIGH,ACTIVE,2023-11-02 20:28:06
CP000327,BANK,C03428,HIGH,ACTIVE,2023-05-27 06:13:17
CP000328,CORP,C09863,MEDIUM,ACTIVE,2020-08-11 07:58:26
CP000329,CORP,C20910,MEDIUM,ACTIVE,2022-03-11 20:50:13
CP000330,BANK,C07377,MEDIUM,ACTIVE,2023-12-26 02:16:47
CP000331,CORP,C45803,MEDIUM,ACTIVE,2022-03-03 15:50:36
CP000332,BANK,C42881,HIGH,ACTIVE,2021-11-01 13:57:39
CP000333,FUND,C37696,HIGH,ACTIVE,2025-02-06 01:05:59
CP000334,BANK,C46790,LOW,ACTIVE,2023-02-15 20:32:05
CP000335,FUND,C06057,LOW,ACTIVE,2024-04-17 00:08:11
CP000336,BANK,C35603,HIGH,ACTIVE,2024-02-19 17:09:54
CP000337,BANK,C02546,MEDIUM,ACTIVE,2021-08-20 19:59:50
CP000338,BANK,C07931,HIGH,ACTIVE,2021-11-04 22:39:59
CP000339,BANK,C07818,HIGH,ACTIVE,2025-05-16 00:26:20
CP000340,BANK,C45420,MEDIUM,ACTIVE,2021-04-01 17:22:58
CP000341,FUND,C23809,HIGH,ACTIVE,2024-10-30 03:38:56
CP000342,CORP,C44190,HIGH,ACTIVE,2021-02-09 11:52:35
CP000343,BANK,C17161,LOW,ACTIVE,2025-12-18 11:30:09
CP000344,FUND,C03413,LOW,ACTIVE,2025-05-14 07:06:05
CP000345,FUND,C11728,LOW,ACTIVE,2020-07-11 02:46:39
CP000346,BANK,C29242,LOW,ACTIVE,2025-02-19 19:45:14
CP000347,BANK,C35178,MEDIUM,ACTIVE,2021-11-30 15:13:38
CP000348,BANK,C37093,HIGH,ACTIVE,2024-01-13 20:12:18
CP000349,FUND,C15985,HIGH,ACTIVE,2020-07-22 20:05:13
CP000350,BANK,C33926,LOW,ACTIVE,2020-11-22 09:33:34
CP000351,BANK,C04388,HIGH,ACTIVE,2020-11-17 00:20:55
CP000352,CORP,C40716,HIGH,ACTIVE,2022-06-05 22:46:58
CP000353,FUND,C39388,LOW,ACTIVE,2025-10-27 05:32:02
CP000354,BANK,C02933,MEDIUM,ACTIVE,2021-07-08 09:10:57
CP000355,FUND,C11266,HIGH,ACTIVE,2021-12-22 10:02:49
CP000356,BANK,C11046,MEDIUM,ACTIVE,2022-03-16 11:32:43
CP000357,BANK,C33673,HIGH,ACTIVE,2021-08-11 01:58:06
CP000358,FUND,C20388,HIGH,ACTIVE,2023-11-13 03:35:57
CP000359,FUND,C12054,LOW,ACTIVE,2020-11-06 21:00:43
CP000360,FUND,C17155,HIGH,ACTIVE,2020-07-11 03:53:00
CP000361,FUND,C10143,LOW,ACTIVE,2025-07-03 16:06:49
