REGION_CODE,REGION_NAME
R530,Region_530
R531,Region_531
R532,Region_532
R533,Region_533
R534,Region_534
R535,Region_535
R536,Region_536
R537,Region_537
R538,Region_538
R539,Region_539
R540,Region_540
R541,Region_541
R542,Region_542
R543,Region_543
R544,Region_544
R545,Region_545
R546,Region_546
R547,Region_547
R548,Region_548
R549,Region_549
R550,Region_550
R551,Region_551
R552,Region_552
R553,Region_553
R554,Region_554
R555,Region_555
R556,Region_556
R557,Region_557
R558,Region_558
R559,Region_559
R560,Region_560
R561,Region_561
R562,Region_562
R563,Region_563
R564,Region_564
R565,Region_565
R566,Region_566
R567,Region_567
R568,Region_568
R569,Region_569
R570,Region_570
R571,Region_571
R572,Region_572
R573,Region_573
R574,Region_574
R575,Region_575
R576,Region_576
R577,Region_577
R578,Region_578
R579,Region_579
R580,Region_580
R581,Region_581
R582,Region_582
R583,Region_583
R584,Region_584
R585,Region_585
R586,Region_586
R587,Region_587
R588,Region_588
R589,Region_589
R590,Region_590
R591,Region_591
R592,Region_592
R593,Region_593
R594,Region_594
R595,Region_595
R596,Region_596
R597,Region_597
R598,Region_598
R599,Region_599
R600,Region_600
R601,Region_601
R602,Region_602
R603,Region_603
R604,Region_604
R605,Region_605
R606,Region_606
R607,Region_607
R608,Region_608
R609,Region_609
R610,Region_610
R611,Region_611
R612,Region_612
R613,Region_613
R614,Region_614
R615,Region_615
R616,Region_616
R617,Region_617
R618,Region_618
R619,Region_619
R620,Region_620
R621,Region_621
R622,Region_622
R623,Region_623
R624,Region_624
R625,Region_625
R626,Region_626
R627,Region_627
R628,Region_628
R629,Region_629
R630,Region_630
R631,Region_631
R632,Region_632
R633,Region_633
R634,Region_634
R635,Region_635
R636,Region_636
R637,Region_637
R638,Region_638
R639,Region_639
R640,Region_640
R641,Region_641
R642,Region_642
R643,Region_643
R644,Region_644
R645,Region_645
R646,Region_646
R647,Region_647
R648,Region_648
R649,Region_649
R650,Region_650
R651,Region_651
R652,Region_652
R653,Region_653
R654,Region_654
R655,Region_655
R656,Region_656
R657,Region_657
R658,Region_658
R659,Region_659
R660,Region_660
R661,Region_661
R662,Region_662
R663,Region_663
R664,Region_664
R665,Region_665
R666,Region_666
R667,Region_667
R668,Region_668
R669,Region_669
R670,Region_670
R671,Region_671
R672,Region_672
R673,Region_673
R674,Region_674
R675,Region_675
R676,Region_676
R677,Region_677
R678,Region_678
R679,Region_679
R680,Region_680
R681,Region_681
R682,Region_682
R683,Region_683
R684,Region_684
R685,Region_685
R686,Region_686
R687,Region_687
R688,Region_688
R689,Region_689
R690,Region_690
R691,Region_691
R692,Region_692
R693,Region_693
R694,Region_694
R695,Region_695
R696,Region_696
R697,Region_697
R698,Region_698
R699,Region_699
R700,Region_700
R701,Region_701
R702,Region_702
R703,Region_703
R704,Region_704
R705,Region_705
R706,Region_706
R707,Region_707
R708,Region_708
R709,Region_709
R710,Region_710
R711,Region_711
R712,Region_712
R713,Region_713
R714,Region_714
R715,Region_715
R716,Region_716
R717,Region_717
R718,Region_718
R719,Region_719
R720,Region_720
R721,Region_721
R722,Region_722
R723,Region_723
R724,Region_724
R725,Region_725
R726,Region_726
R727,Region_727
R728,Region_728
R729,Region_729
R730,Region_730
R731,Region_731
R732,Region_732
R733,Region_733
R734,Region_734
R735,Region_735
R736,Region_736
R737,Region_737
R738,Region_738
R739,Region_739
R740,Region_740
R741,Region_741
R742,Region_742
R743,Region_743
R744,Region_744
R745,Region_745
R746,Region_746
R747,Region_747
R748,Region_748
R749,Region_749
R750,Region_750
R751,Region_751
R752,Region_752
R753,Region_753
R754,Region_754
R755,Region_755
R756,Region_756
R757,Region_757
R758,Region_758
R759,Region_759
R760,Region_760
R761,Region_761
R762,Region_762
R763,Region_763
R764,Region_764
R765,Region_765
R766,Region_766
R767,Region_767
R768,Region_768
R769,Region_769
R770,Region_770
R771,Region_771
R772,Region_772
R773,Region_773
R774,Region_774
R775,Region_775
R776,Region_776
R777,Region_777
R778,Region_778
R779,Region_779
R780,Region_780
R781,Region_781
R782,Region_782
R783,Region_783
R784,Region_784
R785,Region_785
R786,Region_786
R787,Region_787
R788,Region_788
R789,Region_789
R790,Region_790
R791,Region_791
R792,Region_792
R793,Region_793
R794,Region_794
R795,Region_795
R796,Region_796
R797,Region_797
R798,Region_798
R799,Region_799
R800,Region_800
R801,Region_801
R802,Region_802
R803,Region_803
R804,Region_804
R805,Region_805
R806,Region_806
R807,Region_807
R808,Region_808
R809,Region_809
R810,Region_810
R811,Region_811
R812,Region_812
R813,Region_813
R814,Region_814
R815,Region_815
R816,Region_816
R817,Region_817
R818,Region_818
R819,Region_819
R820,Region_820
R821,Region_821
R822,Region_822
R823,Region_823
R824,Region_824
R825,Region_825
R826,Region_826
R827,Region_827
R828,Region_828
R829,Region_829
R830,Region_830
R831,Region_831
R832,Region_832
R833,Region_833
R834,Region_834
R835,Region_835
R836,Region_836
R837,Region_837
R838,Region_838
R839,Region_839
R840,Region_840
R841,Region_841
R842,Region_842
R843,Region_843
R844,Region_844
R845,Region_845
R846,Region_846
R847,Region_847
R848,Region_848
R849,Region_849
R850,Region_850
R851,Region_851
R852,Region_852
R853,Region_853
R854,Region_854
R855,Region_855
R856,Region_856
R857,Region_857
R858,Region_858
R859,Region_859
R860,Region_860
R861,Region_861
R862,Region_862
R863,Region_863
R864,Region_864
R865,Region_865
R866,Region_866
R867,Region_867
R868,Region_868
R869,Region_869
R870,Region_870
R871,Region_871
R872,Region_872
R873,Region_873
R874,Region_874
R875,Region_875
R876,Region_876
R877,Region_877
R878,Region_878
R879,Region_879
R880,Region_880
R881,Region_881
R882,Region_882
R883,Region_883
R884,Region_884
R885,Region_885
R886,Region_886
R887,Region_887
R888,Region_888
R889,Region_889
R890,Region_890
R891,Region_891
R892,Region_892
R893,Region_893
R894,Region_894
R895,Region_895
R896,Region_896
R897,Region_897
R898,Region_898
R899,Region_899
R900,Region_900
R901,Region_901
R902,Region_902
R903,Region_903
R904,Region_904
R905,Region_905
R906,Region_906
R907,Region_907
R908,Region_908
R909,Region_909
R910,Region_910
R911,Region_911
R912,Region_912
R913,Region_913
R914,Region_914
R915,Region_915
R916,Region_916
R917,Region_917
R918,Region_918
R919,Region_919
R920,Region_920
R921,Region_921
R922,Region_922
R923,Region_923
R924,Region_924
R925,Region_925
R926,Region_926
R927,Region_927
R928,Region_928
R929,Region_929
R930,Region_930
R931,Region_931
R932,Region_932
R933,Region_933
R934,Region_934
R935,Region_935
R936,Region_936
R937,Region_937
R938,Region_938
R939,Region_939
R940,Region_940
R941,Region_941
R942,Region_942
R943,Region_943
R944,Region_944
R945,Region_945
R946,Region_946
R947,Region_947
R948,Region_948
R949,Region_949
R950,Region_950
R951,Region_951
R952,Region_952
R953,Region_953
R954,Region_954
R955,Region_955
R956,Region_956
R957,Region_957
R958,Region_958
R959,Region_959
R960,Region_960
R961,Region_961
R962,Region_962
R963,Region_963
R964,Region_964
R965,Region_965
R966,Region_966
R967,Region_967
R968,Region_968
R969,Region_969
R970,Region_970
R971,Region_971
R972,Region_972
R973,Region_973
R974,Region_974
R975,Region_975
R976,Region_976
R977,Region_977
R978,Region_978
R979,Region_979
R980,Region_980
R981,Region_981
R982,Region_982
R983,Region_983
R984,Region_984
R985,Region_985
R986,Region_986
R987,Region_987
R988,Region_988
R989,Region_989
R990,Region_990
R991,Region_991
R992,Region_992
R993,Region_993
R994,Region_994
R995,Region_995
R996,Region_996
R997,Region_997
R998,Region_998
R999,Region_999
R1000,Region_1000
R1001,Region_1001
R1002,Region_1002
R1003,Region_1003
R1004,Region_1004
R1005,Region_1005
R1006,Region_1006
R1007,Region_1007
R1008,Region_1008
R1009,Region_1009
R1010,Region_1010
R1011,Region_1011
R1012,Region_1012
R1013,Region_1013
R1014,Region_1014
R1015,Region_1015
R1016,Region_1016
R1017,Region_1017
R1018,Region_1018
R1019,Region_1019
R1020,Region_1020
R1021,Region_1021
R1022,Region_1022
R1023,Region_1023
R1024,Region_1024
R1025,Region_1025
R1026,Region_1026
R1027,Region_1027
R1028,Region_1028
R1029,Region_1029
R1030,Region_1030
R1031,Region_1031
R1032,Region_1032
R1033,Region_1033
R1034,Region_1034
R1035,Region_1035
R1036,Region_1036
R1037,Region_1037
R1038,Region_1038
R1039,Region_1039
R1040,Region_1040
R1041,Region_1041
R1042,Region_1042
R1043,Region_1043
R1044,Region_1044
R1045,Region_1045
R1046,Region_1046
R1047,Region_1047
R1048,Region_1048
R1049,Region_1049
R1050,Region_1050
R1051,Region_1051
R1052,Region_1052
R1053,Region_1053
R1054,Region_1054
R1055,Region_1055
R1056,Region_1056
R1057,Region_1057
R1058,Region_1058
R1059,Region_1059
R1060,Region_1060
R1061,Region_1061
R1062,Region_1062
R1063,Region_1063
R1064,Region_1064
R1065,Region_1065
R1066,Region_1066
R1067,Region_1067
R1068,Region_1068
R1069,Region_1069
R1070,Region_1070
R1071,Region_1071
R1072,Region_1072
R1073,Region_1073
R1074,Region_1074
R1075,Region_1075
R1076,Region_1076
R1077,Region_1077
R1078,Region_1078
R1079,Region_1079
R1080,Region_1080
R1081,Region_1081
R1082,Region_1082
R1083,Region_1083
R1084,Region_1084
R1085,Region_1085
R1086,Region_1086
R1087,Region_1087
R1088,Region_1088
R1089,Region_1089
R1090,Region_1090
R1091,Region_1091
R1092,Region_1092
R1093,Region_1093
R1094,Region_1094
R1095,Region_1095
R1096,Region_1096
R1097,Region_1097
R1098,Region_1098
R1099,Region_1099
R1100,Region_1100
R1101,Region_1101
R1102,Region_1102
R1103,Region_1103
R1104,Region_1104
R1105,Region_1105
R1106,Region_1106
R1107,Region_1107
R1108,Region_1108
R1109,Region_1109
R1110,Region_1110
R1111,Region_1111
R1112,Region_1112
R1113,Region_1113
R1114,Region_1114
R1115,Region_1115
R1116,Region_1116
R1117,Region_1117
R1118,Region_1118
R1119,Region_1119
R1120,Region_1120
R1121,Region_1121
R1122,Region_1122
R1123,Region_1123
R1124,Region_1124
R1125,Region_1125
R1126,Region_1126
R1127,Region_1127
R1128,Region_1128
R1129,Region_1129
R1130,Region_1130
R1131,Region_1131
R1132,Region_1132
R1133,Region_1133
R1134,Region_1134
R1135,Region_1135
R1136,Region_1136
R1137,Region_1137
R1138,Region_1138
R1139,Region_1139
R1140,Region_1140
R1141,Region_1141
R1142,Region_1142
R1143,Region_1143
R1144,Region_1144
R1145,Region_1145
R1146,Region_1146
R1147,Region_1147
R1148,Region_1148
R1149,Region_1149
R1150,Region_1150
R1151,Region_1151
R1152,Region_1152
R1153,Region_1153
R1154,Region_1154
R1155,Region_1155
R1156,Region_1156
R1157,Region_1157
R1158,Region_1158
R1159,Region_1159
R1160,Region_1160
R1161,Region_1161
R1162,Region_1162
R1163,Region_1163
R1164,Region_1164
R1165,Region_1165
R1166,Region_1166
R1167,Region_1167
R1168,Region_1168
R1169,Region_1169
R1170,Region_1170
R1171,Region_1171
R1172,Region_1172
R1173,Region_1173
R1174,Region_1174
R1175,Region_1175
R1176,Region_1176
R1177,Region_1177
R1178,Region_1178
R1179,Region_1179
R1180,Region_1180
R1181,Region_1181
R1182,Region_1182
R1183,Region_1183
R1184,Region_1184
R1185,Region_1185
R1186,Region_1186
R1187,Region_1187
R1188,Region_1188
R1189,Region_1189
R1190,Region_1190
R1191,Region_1191
R1192,Region_1192
R1193,Region_1193
R1194,Region_1194
R1195,Region_1195
R1196,Region_1196
R1197,Region_1197
R1198,Region_1198
R1199,Region_1199
R1200,Region_1200
R1201,Region_1201
R1202,Region_1202
R1203,Region_1203
R1204,Region_1204
R1205,Region_1205
R1206,Region_1206
R1207,Region_1207
R1208,Region_1208
R1209,Region_1209
R1210,Region_1210
R1211,Region_1211
R1212,Region_1212
R1213,Region_1213
R1214,Region_1214
R1215,Region_1215
R1216,Region_1216
R1217,Region_1217
R1218,Region_1218
R1219,Region_1219
R1220,Region_1220
R1221,Region_1221
R1222,Region_1222
R1223,Region_1223
R1224,Region_1224
R1225,Region_1225
R1226,Region_1226
R1227,Region_1227
R1228,Region_1228
R1229,Region_1229
R1230,Region_1230
R1231,Region_1231
R1232,Region_1232
R1233,Region_1233
R1234,Region_1234
R1235,Region_1235
R1236,Region_1236
R1237,Region_1237
R1238,Region_1238
R1239,Region_1239
R1240,Region_1240
R1241,Region_1241
R1242,Region_1242
R1243,Region_1243
R1244,Region_1244
R1245,Region_1245
R1246,Region_1246
R1247,Region_1247
R1248,Region_1248
R1249,Region_1249
R1250,Region_1250
R1251,Region_1251
R1252,Region_1252
R1253,Region_1253
R1254,Region_1254
R1255,Region_1255
R1256,Region_1256
R1257,Region_1257
R1258,Region_1258
R1259,Region_1259
R1260,Region_1260
R1261,Region_1261
R1262,Region_1262
R1263,Region_1263
R1264,Region_1264
R1265,Region_1265
R1266,Region_1266
R1267,Region_1267
R1268,Region_1268
R1269,Region_1269
R1270,Region_1270
R1271,Region_1271
R1272,Region_1272
R1273,Region_1273
R1274,Region_1274
R1275,Region_1275
R1276,Region_1276
R1277,Region_1277
R1278,Region_1278
R1279,Region_1279
R1280,Region_1280
R1281,Region_1281
R1282,Region_1282
R1283,Region_1283
R1284,Region_1284
R1285,Region_1285
R1286,Region_1286
R1287,Region_1287
R1288,Region_1288
R1289,Region_1289
R1290,Region_1290
R1291,Region_1291
R1292,Region_1292
R1293,Region_1293
R1294,Region_1294
R1295,Region_1295
R1296,Region_1296
R1297,Region_1297
R1298,Region_1298
R1299,Region_1299
R1300,Region_1300
R1301,Region_1301
R1302,Region_1302
R1303,Region_1303
R1304,Region_1304
R1305,Region_1305
R1306,Region_1306
R1307,Region_1307
R1308,Region_1308
R1309,Region_1309
R1310,Region_1310
R1311,Region_1311
R1312,Region_1312
R1313,Region_1313
R1314,Region_1314
R1315,Region_1315
R1316,Region_1316
R1317,Region_1317
R1318,Region_1318
R1319,Region_1319
R1320,Region_1320
R1321,Region_1321
R1322,Region_1322
R1323,Region_1323
R1324,Region_1324
R1325,Region_1325
R1326,Region_1326
R1327,Region_1327
R1328,Region_1328
R1329,Region_1329
R1330,Region_1330
R1331,Region_1331
R1332,Region_1332
R1333,Region_1333
R1334,Region_1334
R1335,Region_1335
R1336,Region_1336
R1337,Region_1337
R1338,Region_1338
R1339,Region_1339
R1340,Region_1340
R1341,Region_1341
R1342,Region_1342
R1343,Region_1343
R1344,Region_1344
R1345,Region_1345
R1346,Region_1346
R1347,Region_1347
R1348,Region_1348
R1349,Region_1349
R1350,Region_1350
R1351,Region_1351
R1352,Region_1352
R1353,Region_1353
R1354,Region_1354
R1355,Region_1355
R1356,Region_1356
R1357,Region_1357
R1358,Region_1358
R1359,Region_1359
R1360,Region_1360
R1361,Region_1361
R1362,Region_1362
R1363,Region_1363
R1364,Region_1364
R1365,Region_1365
R1366,Region_1366
R1367,Region_1367
R1368,Region_1368
R1369,Region_1369
R1370,Region_1370
R1371,Region_1371
R1372,Region_1372
R1373,Region_1373
R1374,Region_1374
R1375,Region_1375
R1376,Region_1376
R1377,Region_1377
R1378,Region_1378
R1379,Region_1379
R1380,Region_1380
R1381,Region_1381
R1382,Region_1382
R1383,Region_1383
R1384,Region_1384
R1385,Region_1385
R1386,Region_1386
R1387,Region_1387
R1388,Region_1388
R1389,Region_1389
R1390,Region_1390
R1391,Region_1391
R1392,Region_1392
R1393,Region_1393
R1394,Region_1394
R1395,Region_1395
R1396,Region_1396
R1397,Region_1397
R1398,Region_1398
R1399,Region_1399
R1400,Region_1400
R1401,Region_1401
R1402,Region_1402
R1403,Region_1403
R1404,Region_1404
R1405,Region_1405
R1406,Region_1406
R1407,Region_1407
R1408,Region_1408
R1409,Region_1409
R1410,Region_1410
R1411,Region_1411
R1412,Region_1412
R1413,Region_1413
R1414,Region_1414
R1415,Region_1415
R1416,Region_1416
R1417,Region_1417
R1418,Region_1418
R1419,Region_1419
R1420,Region_1420
R1421,Region_1421
R1422,Region_1422
R1423,Region_1423
R1424,Region_1424
R1425,Region_1425
R1426,Region_1426
R1427,Region_1427
R1428,Region_1428
R1429,Region_1429
R1430,Region_1430
R1431,Region_1431
R1432,Region_1432
R1433,Region_1433
R1434,Region_1434
R1435,Region_1435
R1436,Region_1436
R1437,Region_1437
R1438,Region_1438
R1439,Region_1439
R1440,Region_1440
R1441,Region_1441
R1442,Region_1442
R1443,Region_1443
R1444,Region_1444
R1445,Region_1445
R1446,Region_1446
R1447,Region_1447
R1448,Region_1448
R1449,Region_1449
R1450,Region_1450
R1451,Region_1451
R1452,Region_1452
R1453,Region_1453
R1454,Region_1454
R1455,Region_1455
R1456,Region_1456
R1457,Region_1457
R1458,Region_1458
R1459,Region_1459
R1460,Region_1460
R1461,Region_1461
R1462,Region_1462
R1463,Region_1463
R1464,Region_1464
R1465,Region_1465
R1466,Region_1466
R1467,Region_1467
R1468,Region_1468
R1469,Region_1469
R1470,Region_1470
R1471,Region_1471
R1472,Region_1472
R1473,Region_1473
R1474,Region_1474
R1475,Region_1475
R1476,Region_1476
R1477,Region_1477
R1478,Region_1478
R1479,Region_1479
R1480,Region_1480
R1481,Region_1481
R1482,Region_1482
R1483,Region_1483
R1484,Region_1484
R1485,Region_1485
R1486,Region_1486
R1487,Region_1487
R1488,Region_1488
R1489,Region_1489
R1490,Region_1490
R1491,Region_1491
R1492,Region_1492
R1493,Region_1493
R1494,Region_1494
R1495,Region_1495
R1496,Region_1496
R1497,Region_1497
R1498,Region_1498
R1499,Region_1499
R1500,Region_1500
R1501,Region_1501
R1502,Region_1502
R1503,Region_1503
R1504,Region_1504
R1505,Region_1505
R1506,Region_1506
R1507,Region_1507
R1508,Region_1508
R1509,Region_1509
R1510,Region_1510
R1511,Region_1511
R1512,Region_1512
R1513,Region_1513
R1514,Region_1514
R1515,Region_1515
R1516,Region_1516
R1517,Region_1517
R1518,Region_1518
R1519,Region_1519
R1520,Region_1520
R1521,Region_1521
R1522,Region_1522
R1523,Region_1523
R1524,Region_1524
R1525,Region_1525
R1526,Region_1526
R1527,Region_1527
R1528,Region_1528
R1529,Region_1529
R1530,Region_1530
R1531,Region_1531
R1532,Region_1532
R1533,Region_1533
R1534,Region_1534
R1535,Region_1535
R1536,Region_1536
R1537,Region_1537
R1538,Region_1538
R1539,Region_1539
R1540,Region_1540
R1541,Region_1541
R1542,Region_1542
R1543,Region_1543
R1544,Region_1544
R1545,Region_1545
R1546,Region_1546
R1547,Region_1547
R1548,Region_1548
R1549,Region_1549
R1550,Region_1550
R1551,Region_1551
R1552,Region_1552
R1553,Region_1553
R1554,Region_1554
R1555,Region_1555
R1556,Region_1556
R1557,Region_1557
R1558,Region_1558
R1559,Region_1559
R1560,Region_1560
R1561,Region_1561
R1562,Region_1562
R1563,Region_1563
R1564,Region_1564
R1565,Region_1565
R1566,Region_1566
R1567,Region_1567
R1568,Region_1568
R1569,Region_1569
R1570,Region_1570
R1571,Region_1571
R1572,Region_1572
R1573,Region_1573
R1574,Region_1574
R1575,Region_1575
R1576,Region_1576
R1577,Region_1577
R1578,Region_1578
R1579,Region_1579
R1580,Region_1580
R1581,Region_1581
R1582,Region_1582
R1583,Region_1583
R1584,Region_1584
R1585,Region_1585
R1586,Region_1586
R1587,Region_1587
R1588,Region_1588
R1589,Region_1589
R1590,Region_1590
R1591,Region_1591
R1592,Region_1592
R1593,Region_1593
R1594,Region_1594
R1595,Region_1595
