INSTRUMENT_CD,INSTRUMENT_DESC,INSTRUMENT_TYPE,IS_ACTIVE
INS000063,Instrument INS000063,EQUITY,Y
INS000064,Instrument INS000064,BOND,Y
INS000065,Instrument INS000065,BOND,Y
INS000066,Instrument INS000066,BOND,Y
INS000067,Instrument INS000067,BOND,Y
INS000068,Instrument INS000068,FX,Y
INS000069,Instrument INS000069,BOND,Y
INS000070,Instrument INS000070,EQUITY,Y
INS000071,Instrument INS000071,BOND,Y
INS000072,Instrument INS000072,EQUITY,Y
INS000073,Instrument INS000073,BOND,Y
INS000074,Instrument INS000074,FX,Y
INS000075,Instrument INS000075,EQUITY,Y
INS000076,Instrument INS000076,EQUITY,Y
INS000077,Instrument INS000077,BOND,Y
INS000078,Instrument INS000078,FX,Y
INS000079,Instrument INS000079,FX,Y
INS000080,Instrument INS000080,EQUITY,Y
INS000081,Instrument INS000081,BOND,Y
INS000082,Instrument INS000082,FX,Y
INS000083,Instrument INS000083,FX,Y
INS000084,Instrument INS000084,FX,Y
INS000085,Instrument INS000085,BOND,Y
INS000086,Instrument INS000086,BOND,Y
INS000087,Instrument INS000087,EQUITY,Y
INS000088,Instrument INS000088,BOND,Y
INS000089,Instrument INS000089,FX,Y
INS000090,Instrument INS000090,EQUITY,Y
INS000091,Instrument INS000091,BOND,Y
INS000092,Instrument INS000092,FX,Y
INS000093,Instrument INS000093,FX,Y
INS000094,Instrument INS000094,EQUITY,Y
INS000095,Instrument INS000095,EQUITY,Y
INS000096,Instrument INS000096,BOND,Y
INS000097,Instrument INS000097,BOND,Y
INS000098,Instrument INS000098,EQUITY,Y
INS000099,Instrument INS000099,EQUITY,Y
INS000100,Instrument INS000100,FX,Y
INS000101,Instrument INS000101,BOND,Y
INS000102,Instrument INS000102,FX,Y
INS000103,Instrument INS000103,EQUITY,Y
INS000104,Instrument INS000104,EQUITY,Y
INS000105,Instrument INS000105,EQUITY,Y
INS000106,Instrument INS000106,BOND,Y
INS000107,Instrument INS000107,EQUITY,Y
INS000108,Instrument INS000108,EQUITY,Y
INS000109,Instrument INS000109,BOND,Y
INS000110,Instrument INS000110,EQUITY,Y
INS000111,Instrument INS000111,BOND,Y
INS000112,Instrument INS000112,EQUITY,Y
INS000113,Instrument INS000113,BOND,Y
INS000114,Instrument INS000114,BOND,Y
INS000115,Instrument INS000115,BOND,Y
INS000116,Instrument INS000116,BOND,Y
INS000117,Instrument INS000117,FX,Y
INS000118,Instrument INS000118,BOND,Y
INS000119,Instrument INS000119,BOND,Y
INS000120,Instrument INS000120,BOND,Y
INS000121,Instrument INS000121,BOND,Y
INS000122,Instrument INS000122,EQUITY,Y
INS000123,Instrument INS000123,EQUITY,Y
INS000124,Instrument INS000124,BOND,Y
INS000125,Instrument INS000125,BOND,Y
INS000126,Instrument INS000126,FX,Y
INS000127,Instrument INS000127,BOND,Y
INS000128,Instrument INS000128,BOND,Y
INS000129,Instrument INS000129,BOND,Y
INS000130,Instrument INS000130,EQUITY,Y
INS000131,Instrument INS000131,BOND,Y
INS000132,Instrument INS000132,BOND,Y
INS000133,Instrument INS000133,FX,Y
INS000134,Instrument INS000134,EQUITY,Y
INS000135,Instrument INS000135,FX,Y
INS000136,Instrument INS000136,BOND,Y
INS000137,Instrument INS000137,FX,Y
INS000138,Instrument INS000138,BOND,Y
INS000139,Instrument INS000139,BOND,Y
INS000140,Instrument INS000140,EQUITY,Y
INS000141,Instrument INS000141,FX,Y
INS000142,Instrument INS000142,BOND,Y
INS000143,Instrument INS000143,FX,Y
INS000144,Instrument INS000144,EQUITY,Y
INS000145,Instrument INS000145,BOND,Y
INS000146,Instrument INS000146,EQUITY,Y
INS000147,Instrument INS000147,FX,Y
INS000148,Instrument INS000148,FX,Y
INS000149,Instrument INS000149,FX,Y
INS000150,Instrument INS000150,BOND,Y
INS000151,Instrument INS000151,BOND,Y
INS000152,Instrument INS000152,BOND,Y
INS000153,Instrument INS000153,EQUITY,Y
INS000154,Instrument INS000154,FX,Y
INS000155,Instrument INS000155,FX,Y
INS000156,Instrument INS000156,FX,Y
INS000157,Instrument INS000157,EQUITY,Y
INS000158,Instrument INS000158,BOND,Y
INS000159,Instrument INS000159,EQUITY,Y
INS000160,Instrument INS000160,FX,Y
INS000161,Instrument INS000161,FX,Y
INS000162,Instrument INS000162,EQUITY,Y
INS000163,Instrument INS000163,BOND,Y
INS000164,Instrument INS000164,BOND,Y
INS000165,Instrument INS000165,FX,Y
INS000166,Instrument INS000166,EQUITY,Y
INS000167,Instrument INS000167,BOND,Y
INS000168,Instrument INS000168,EQUITY,Y
INS000169,Instrument INS000169,FX,Y
INS000170,Instrument INS000170,FX,Y
INS000171,Instrument INS000171,FX,Y
INS000172,Instrument INS000172,FX,Y
INS000173,Instrument INS000173,BOND,Y
INS000174,Instrument INS000174,FX,Y
INS000175,Instrument INS000175,BOND,Y
INS000176,Instrument INS000176,BOND,Y
INS000177,Instrument INS000177,EQUITY,Y
INS000178,Instrument INS000178,FX,Y
INS000179,Instrument INS000179,BOND,Y
INS000180,Instrument INS000180,EQUITY,Y
INS000181,Instrument INS000181,EQUITY,Y
INS000182,Instrument INS000182,FX,Y
INS000183,Instrument INS000183,FX,Y
INS000184,Instrument INS000184,EQUITY,Y
INS000185,Instrument INS000185,BOND,Y
INS000186,Instrument INS000186,FX,Y
INS000187,Instrument INS000187,EQUITY,Y
INS000188,Instrument INS000188,EQUITY,Y
INS000189,Instrument INS000189,BOND,Y
INS000190,Instrument INS000190,BOND,Y
INS000191,Instrument INS000191,EQUITY,Y
INS000192,Instrument INS000192,BOND,Y
INS000193,Instrument INS000193,FX,Y
INS000194,Instrument INS000194,EQUITY,Y
INS000195,Instrument INS000195,BOND,Y
INS000196,Instrument INS000196,BOND,Y
INS000197,Instrument INS000197,BOND,Y
INS000198,Instrument INS000198,BOND,Y
INS000199,Instrument INS000199,EQUITY,Y
INS000200,Instrument INS000200,BOND,Y
INS000201,Instrument INS000201,FX,Y
INS000202,Instrument INS000202,FX,Y
INS000203,Instrument INS000203,EQUITY,Y
INS000204,Instrument INS000204,EQUITY,Y
INS000205,Instrument INS000205,FX,Y
INS000206,Instrument INS000206,FX,Y
INS000207,Instrument INS000207,EQUITY,Y
INS000208,Instrument INS000208,FX,Y
INS000209,Instrument INS000209,FX,Y
INS000210,Instrument INS000210,EQUITY,Y
INS000211,Instrument INS000211,EQUITY,Y
INS000212,Instrument INS000212,BOND,Y
INS000213,Instrument INS000213,BOND,Y
INS000214,Instrument INS000214,FX,Y
INS000215,Instrument INS000215,EQUITY,Y
INS000216,Instrument INS000216,BOND,Y
INS000217,Instrument INS000217,FX,Y
INS000218,Instrument INS000218,FX,Y
INS000219,Instrument INS000219,FX,Y
INS000220,Instrument INS000220,FX,Y
INS000221,Instrument INS000221,EQUITY,Y
INS000222,Instrument INS000222,FX,Y
INS000223,Instrument INS000223,BOND,Y
INS000224,Instrument INS000224,EQUITY,Y
INS000225,Instrument INS000225,FX,Y
INS000226,Instrument INS000226,BOND,Y
INS000227,Instrument INS000227,BOND,Y
INS000228,Instrument INS000228,EQUITY,Y
INS000229,Instrument INS000229,EQUITY,Y
INS000230,Instrument INS000230,EQUITY,Y
INS000231,Instrument INS000231,BOND,Y
INS000232,Instrument INS000232,BOND,Y
INS000233,Instrument INS000233,FX,Y
INS000234,Instrument INS000234,EQUITY,Y
INS000235,Instrument INS000235,EQUITY,Y
INS000236,Instrument INS000236,EQUITY,Y
INS000237,Instrument INS000237,EQUITY,Y
INS000238,Instrument INS000238,BOND,Y
INS000239,Instrument INS000239,EQUITY,Y
INS000240,Instrument INS000240,BOND,Y
INS000241,Instrument INS000241,BOND,Y
INS000242,Instrument INS000242,EQUITY,Y
INS000243,Instrument INS000243,BOND,Y
INS000244,Instrument INS000244,BOND,Y
INS000245,Instrument INS000245,EQUITY,Y
INS000246,Instrument INS000246,EQUITY,Y
INS000247,Instrument INS000247,FX,Y
INS000248,Instrument INS000248,BOND,Y
INS000249,Instrument INS000249,BOND,Y
INS000250,Instrument INS000250,FX,Y
INS000251,Instrument INS000251,FX,Y
INS000252,Instrument INS000252,EQUITY,Y
INS000253,Instrument INS000253,FX,Y
INS000254,Instrument INS000254,EQUITY,Y
INS000255,Instrument INS000255,EQUITY,Y
INS000256,Instrument INS000256,EQUITY,Y
INS000257,Instrument INS000257,BOND,Y
INS000258,Instrument INS000258,BOND,Y
INS000259,Instrument INS000259,EQUITY,Y
INS000260,Instrument INS000260,FX,Y
INS000261,Instrument INS000261,BOND,Y
INS000262,Instrument INS000262,BOND,Y
INS000263,Instrument INS000263,FX,Y
INS000264,Instrument INS000264,BOND,Y
INS000265,Instrument INS000265,FX,Y
INS000266,Instrument INS000266,FX,Y
INS000267,Instrument INS000267,BOND,Y
INS000268,Instrument INS000268,FX,Y
INS000269,Instrument INS000269,FX,Y
INS000270,Instrument INS000270,EQUITY,Y
INS000271,Instrument INS000271,EQUITY,Y
INS000272,Instrument INS000272,BOND,Y
INS000273,Instrument INS000273,FX,Y
INS000274,Instrument INS000274,BOND,Y
INS000275,Instrument INS000275,BOND,Y
INS000276,Instrument INS000276,EQUITY,Y
INS000277,Instrument INS000277,FX,Y
INS000278,Instrument INS000278,BOND,Y
INS000279,Instrument INS000279,BOND,Y
INS000280,Instrument INS000280,EQUITY,Y
INS000281,Instrument INS000281,EQUITY,Y
INS000282,Instrument INS000282,EQUITY,Y
INS000283,Instrument INS000283,BOND,Y
INS000284,Instrument INS000284,FX,Y
INS000285,Instrument INS000285,EQUITY,Y
INS000286,Instrument INS000286,EQUITY,Y
INS000287,Instrument INS000287,FX,Y
INS000288,Instrument INS000288,BOND,Y
INS000289,Instrument INS000289,BOND,Y
INS000290,Instrument INS000290,FX,Y
INS000291,Instrument INS000291,EQUITY,Y
INS000292,Instrument INS000292,FX,Y
INS000293,Instrument INS000293,BOND,Y
INS000294,Instrument INS000294,BOND,Y
INS000295,Instrument INS000295,EQUITY,Y
INS000296,Instrument INS000296,EQUITY,Y
INS000297,Instrument INS000297,FX,Y
INS000298,Instrument INS000298,BOND,Y
INS000299,Instrument INS000299,BOND,Y
INS000300,Instrument INS000300,FX,Y
INS000301,Instrument INS000301,EQUITY,Y
INS000302,Instrument INS000302,BOND,Y
INS000303,Instrument INS000303,BOND,Y
INS000304,Instrument INS000304,EQUITY,Y
INS000305,Instrument INS000305,BOND,Y
INS000306,Instrument INS000306,EQUITY,Y
INS000307,Instrument INS000307,FX,Y
INS000308,Instrument INS000308,EQUITY,Y
INS000309,Instrument INS000309,EQUITY,Y
INS000310,Instrument INS000310,FX,Y
INS000311,Instrument INS000311,BOND,Y
INS000312,Instrument INS000312,BOND,Y
INS000313,Instrument INS000313,EQUITY,Y
INS000314,Instrument INS000314,EQUITY,Y
INS000315,Instrument INS000315,FX,Y
INS000316,Instrument INS000316,FX,Y
INS000317,Instrument INS000317,BOND,Y
INS000318,Instrument INS000318,BOND,Y
INS000319,Instrument INS000319,FX,Y
INS000320,Instrument INS000320,EQUITY,Y
INS000321,Instrument INS000321,FX,Y
INS000322,Instrument INS000322,BOND,Y
INS000323,Instrument INS000323,EQUITY,Y
INS000324,Instrument INS000324,FX,Y
INS000325,Instrument INS000325,BOND,Y
INS000326,Instrument INS000326,EQUITY,Y
INS000327,Instrument INS000327,EQUITY,Y
INS000328,Instrument INS000328,EQUITY,Y
INS000329,Instrument INS000329,EQUITY,Y
INS000330,Instrument INS000330,EQUITY,Y
INS000331,Instrument INS000331,FX,Y
INS000332,Instrument INS000332,EQUITY,Y
INS000333,Instrument INS000333,FX,Y
INS000334,Instrument INS000334,EQUITY,Y
INS000335,Instrument INS000335,BOND,Y
INS000336,Instrument INS000336,EQUITY,Y
INS000337,Instrument INS000337,FX,Y
INS000338,Instrument INS000338,BOND,Y
INS000339,Instrument INS000339,BOND,Y
INS000340,Instrument INS000340,FX,Y
INS000341,Instrument INS000341,BOND,Y
INS000342,Instrument INS000342,FX,Y
INS000343,Instrument INS000343,EQUITY,Y
INS000344,Instrument INS000344,EQUITY,Y
INS000345,Instrument INS000345,FX,Y
INS000346,Instrument INS000346,EQUITY,Y
INS000347,Instrument INS000347,BOND,Y
INS000348,Instrument INS000348,EQUITY,Y
INS000349,Instrument INS000349,EQUITY,Y
INS000350,Instrument INS000350,BOND,Y
INS000351,Instrument INS000351,BOND,Y
INS000352,Instrument INS000352,EQUITY,Y
INS000353,Instrument INS000353,EQUITY,Y
INS000354,Instrument INS000354,EQUITY,Y
INS000355,Instrument INS000355,FX,Y
INS000356,Instrument INS000356,FX,Y
INS000357,Instrument INS000357,EQUITY,Y
INS000358,Instrument INS000358,EQUITY,Y
INS000359,Instrument INS000359,BOND,Y
INS000360,Instrument INS000360,EQUITY,Y
INS000361,Instrument INS000361,EQUITY,Y
INS000362,Instrument INS000362,FX,Y
INS000363,Instrument INS000363,FX,Y
INS000364,Instrument INS000364,FX,Y
INS000365,Instrument INS000365,BOND,Y
INS000366,Instrument INS000366,EQUITY,Y
INS000367,Instrument INS000367,FX,Y
INS000368,Instrument INS000368,BOND,Y
INS000369,Instrument INS000369,EQUITY,Y
INS000370,Instrument INS000370,EQUITY,Y
INS000371,Instrument INS000371,BOND,Y
INS000372,Instrument INS000372,EQUITY,Y
INS000373,Instrument INS000373,BOND,Y
INS000374,Instrument INS000374,BOND,Y
INS000375,Instrument INS000375,FX,Y
INS000376,Instrument INS000376,BOND,Y
INS000377,Instrument INS000377,FX,Y
INS000378,Instrument INS000378,EQUITY,Y
INS000379,Instrument INS000379,FX,Y
INS000380,Instrument INS000380,BOND,Y
INS000381,Instrument INS000381,FX,Y
INS000382,Instrument INS000382,EQUITY,Y
INS000383,Instrument INS000383,FX,Y
INS000384,Instrument INS000384,EQUITY,Y
INS000385,Instrument INS000385,BOND,Y
INS000386,Instrument INS000386,FX,Y
INS000387,Instrument INS000387,EQUITY,Y
INS000388,Instrument INS000388,EQUITY,Y
INS000389,Instrument INS000389,FX,Y
INS000390,Instrument INS000390,FX,Y
INS000391,Instrument INS000391,FX,Y
INS000392,Instrument INS000392,FX,Y
INS000393,Instrument INS000393,FX,Y
INS000394,Instrument INS000394,EQUITY,Y
INS000395,Instrument INS000395,BOND,Y
INS000396,Instrument INS000396,EQUITY,Y
INS000397,Instrument INS000397,FX,Y
INS000398,Instrument INS000398,FX,Y
INS000399,Instrument INS000399,BOND,Y
INS000400,Instrument INS000400,FX,Y
INS000401,Instrument INS000401,BOND,Y
INS000402,Instrument INS000402,FX,Y
INS000403,Instrument INS000403,EQUITY,Y
INS000404,Instrument INS000404,BOND,Y
INS000405,Instrument INS000405,EQUITY,Y
INS000406,Instrument INS000406,FX,Y
INS000407,Instrument INS000407,EQUITY,Y
INS000408,Instrument INS000408,EQUITY,Y
INS000409,Instrument INS000409,EQUITY,Y
INS000410,Instrument INS000410,BOND,Y
INS000411,Instrument INS000411,BOND,Y
INS000412,Instrument INS000412,BOND,Y
INS000413,Instrument INS000413,EQUITY,Y
INS000414,Instrument INS000414,EQUITY,Y
INS000415,Instrument INS000415,FX,Y
INS000416,Instrument INS000416,BOND,Y
INS000417,Instrument INS000417,FX,Y
INS000418,Instrument INS000418,EQUITY,Y
INS000419,Instrument INS000419,BOND,Y
INS000420,Instrument INS000420,FX,Y
INS000421,Instrument INS000421,EQUITY,Y
INS000422,Instrument INS000422,EQUITY,Y
INS000423,Instrument INS000423,EQUITY,Y
INS000424,Instrument INS000424,BOND,Y
INS000425,Instrument INS000425,BOND,Y
INS000426,Instrument INS000426,FX,Y
INS000427,Instrument INS000427,EQUITY,Y
INS000428,Instrument INS000428,BOND,Y
INS000429,Instrument INS000429,BOND,Y
INS000430,Instrument INS000430,EQUITY,Y
INS000431,Instrument INS000431,EQUITY,Y
INS000432,Instrument INS000432,FX,Y
INS000433,Instrument INS000433,FX,Y
INS000434,Instrument INS000434,FX,Y
INS000435,Instrument INS000435,BOND,Y
INS000436,Instrument INS000436,BOND,Y
INS000437,Instrument INS000437,BOND,Y
INS000438,Instrument INS000438,BOND,Y
INS000439,Instrument INS000439,BOND,Y
INS000440,Instrument INS000440,EQUITY,Y
INS000441,Instrument INS000441,FX,Y
INS000442,Instrument INS000442,FX,Y
INS000443,Instrument INS000443,FX,Y
INS000444,Instrument INS000444,FX,Y
INS000445,Instrument INS000445,EQUITY,Y
INS000446,Instrument INS000446,BOND,Y
INS000447,Instrument INS000447,BOND,Y
INS000448,Instrument INS000448,BOND,Y
INS000449,Instrument INS000449,FX,Y
INS000450,Instrument INS000450,FX,Y
INS000451,Instrument INS000451,EQUITY,Y
INS000452,Instrument INS000452,EQUITY,Y
INS000453,Instrument INS000453,BOND,Y
INS000454,Instrument INS000454,BOND,Y
INS000455,Instrument INS000455,BOND,Y
INS000456,Instrument INS000456,BOND,Y
INS000457,Instrument INS000457,BOND,Y
INS000458,Instrument INS000458,BOND,Y
INS000459,Instrument INS000459,FX,Y
INS000460,Instrument INS000460,EQUITY,Y
INS000461,Instrument INS000461,EQUITY,Y
INS000462,Instrument INS000462,FX,Y
INS000463,Instrument INS000463,BOND,Y
INS000464,Instrument INS000464,BOND,Y
INS000465,Instrument INS000465,BOND,Y
INS000466,Instrument INS000466,EQUITY,Y
INS000467,Instrument INS000467,EQUITY,Y
INS000468,Instrument INS000468,BOND,Y
INS000469,Instrument INS000469,BOND,Y
INS000470,Instrument INS000470,FX,Y
INS000471,Instrument INS000471,BOND,Y
INS000472,Instrument INS000472,FX,Y
INS000473,Instrument INS000473,BOND,Y
INS000474,Instrument INS000474,BOND,Y
INS000475,Instrument INS000475,BOND,Y
INS000476,Instrument INS000476,FX,Y
INS000477,Instrument INS000477,FX,Y
INS000478,Instrument INS000478,FX,Y
INS000479,Instrument INS000479,EQUITY,Y
INS000480,Instrument INS000480,EQUITY,Y
INS000481,Instrument INS000481,BOND,Y
INS000482,Instrument INS000482,FX,Y
INS000483,Instrument INS000483,FX,Y
INS000484,Instrument INS000484,BOND,Y
INS000485,Instrument INS000485,BOND,Y
INS000486,Instrument INS000486,BOND,Y
INS000487,Instrument INS000487,BOND,Y
INS000488,Instrument INS000488,FX,Y
INS000489,Instrument INS000489,EQUITY,Y
INS000490,Instrument INS000490,FX,Y
INS000491,Instrument INS000491,EQUITY,Y
INS000492,Instrument INS000492,BOND,Y
INS000493,Instrument INS000493,EQUITY,Y
INS000494,Instrument INS000494,FX,Y
INS000495,Instrument INS000495,FX,Y
INS000496,Instrument INS000496,FX,Y
INS000497,Instrument INS000497,FX,Y
INS000498,Instrument INS000498,FX,Y
INS000499,Instrument INS000499,FX,Y
INS000500,Instrument INS000500,BOND,Y
INS000501,Instrument INS000501,EQUITY,Y
INS000502,Instrument INS000502,BOND,Y
INS000503,Instrument INS000503,EQUITY,Y
INS000504,Instrument INS000504,EQUITY,Y
INS000505,Instrument INS000505,EQUITY,Y
INS000506,Instrument INS000506,FX,Y
INS000507,Instrument INS000507,FX,Y
INS000508,Instrument INS000508,FX,Y
INS000509,Instrument INS000509,EQUITY,Y
INS000510,Instrument INS000510,EQUITY,Y
INS000511,Instrument INS000511,EQUITY,Y
INS000512,Instrument INS000512,BOND,Y
INS000513,Instrument INS000513,FX,Y
INS000514,Instrument INS000514,FX,Y
INS000515,Instrument INS000515,FX,Y
INS000516,Instrument INS000516,BOND,Y
INS000517,Instrument INS000517,BOND,Y
INS000518,Instrument INS000518,BOND,Y
INS000519,Instrument INS000519,EQUITY,Y
INS000520,Instrument INS000520,BOND,Y
INS000521,Instrument INS000521,EQUITY,Y
INS000522,Instrument INS000522,EQUITY,Y
INS000523,Instrument INS000523,FX,Y
INS000524,Instrument INS000524,FX,Y
INS000525,Instrument INS000525,BOND,Y
INS000526,Instrument INS000526,EQUITY,Y
INS000527,Instrument INS000527,EQUITY,Y
INS000528,Instrument INS000528,EQUITY,Y
INS000529,Instrument INS000529,FX,Y
INS000530,Instrument INS000530,FX,Y
INS000531,Instrument INS000531,FX,Y
INS000532,Instrument INS000532,FX,Y
INS000533,Instrument INS000533,FX,Y
INS000534,Instrument INS000534,FX,Y
INS000535,Instrument INS000535,BOND,Y
INS000536,Instrument INS000536,BOND,Y
INS000537,Instrument INS000537,BOND,Y
INS000538,Instrument INS000538,BOND,Y
INS000539,Instrument INS000539,EQUITY,Y
INS000540,Instrument INS000540,FX,Y
INS000541,Instrument INS000541,FX,Y
INS000542,Instrument INS000542,BOND,Y
INS000543,Instrument INS000543,EQUITY,Y
INS000544,Instrument INS000544,BOND,Y
INS000545,Instrument INS000545,FX,Y
INS000546,Instrument INS000546,BOND,Y
INS000547,Instrument INS000547,EQUITY,Y
INS000548,Instrument INS000548,FX,Y
INS000549,Instrument INS000549,EQUITY,Y
INS000550,Instrument INS000550,BOND,Y
INS000551,Instrument INS000551,FX,Y
INS000552,Instrument INS000552,EQUITY,Y
INS000553,Instrument INS000553,EQUITY,Y
INS000554,Instrument INS000554,EQUITY,Y
INS000555,Instrument INS000555,FX,Y
INS000556,Instrument INS000556,FX,Y
INS000557,Instrument INS000557,BOND,Y
INS000558,Instrument INS000558,BOND,Y
INS000559,Instrument INS000559,FX,Y
INS000560,Instrument INS000560,EQUITY,Y
INS000561,Instrument INS000561,FX,Y
INS000562,Instrument INS000562,FX,Y
INS000563,Instrument INS000563,FX,Y
INS000564,Instrument INS000564,FX,Y
INS000565,Instrument INS000565,BOND,Y
INS000566,Instrument INS000566,BOND,Y
INS000567,Instrument INS000567,EQUITY,Y
INS000568,Instrument INS000568,FX,Y
INS000569,Instrument INS000569,FX,Y
INS000570,Instrument INS000570,BOND,Y
INS000571,Instrument INS000571,BOND,Y
INS000572,Instrument INS000572,FX,Y
INS000573,Instrument INS000573,BOND,Y
INS000574,Instrument INS000574,FX,Y
INS000575,Instrument INS000575,EQUITY,Y
INS000576,Instrument INS000576,EQUITY,Y
INS000577,Instrument INS000577,EQUITY,Y
INS000578,Instrument INS000578,FX,Y
INS000579,Instrument INS000579,BOND,Y
INS000580,Instrument INS000580,EQUITY,Y
INS000581,Instrument INS000581,FX,Y
INS000582,Instrument INS000582,EQUITY,Y
INS000583,Instrument INS000583,EQUITY,Y
INS000584,Instrument INS000584,BOND,Y
INS000585,Instrument INS000585,FX,Y
INS000586,Instrument INS000586,BOND,Y
INS000587,Instrument INS000587,BOND,Y
INS000588,Instrument INS000588,BOND,Y
INS000589,Instrument INS000589,EQUITY,Y
INS000590,Instrument INS000590,EQUITY,Y
INS000591,Instrument INS000591,EQUITY,Y
INS000592,Instrument INS000592,FX,Y
INS000593,Instrument INS000593,BOND,Y
INS000594,Instrument INS000594,EQUITY,Y
INS000595,Instrument INS000595,BOND,Y
INS000596,Instrument INS000596,BOND,Y
INS000597,Instrument INS000597,BOND,Y
INS000598,Instrument INS000598,BOND,Y
INS000599,Instrument INS000599,BOND,Y
INS000600,Instrument INS000600,EQUITY,Y
INS000601,Instrument INS000601,FX,Y
INS000602,Instrument INS000602,FX,Y
INS000603,Instrument INS000603,FX,Y
INS000604,Instrument INS000604,FX,Y
INS000605,Instrument INS000605,BOND,Y
INS000606,Instrument INS000606,EQUITY,Y
INS000607,Instrument INS000607,EQUITY,Y
INS000608,Instrument INS000608,BOND,Y
INS000609,Instrument INS000609,BOND,Y
INS000610,Instrument INS000610,EQUITY,Y
INS000611,Instrument INS000611,EQUITY,Y
INS000612,Instrument INS000612,FX,Y
INS000613,Instrument INS000613,FX,Y
INS000614,Instrument INS000614,FX,Y
INS000615,Instrument INS000615,EQUITY,Y
INS000616,Instrument INS000616,FX,Y
INS000617,Instrument INS000617,EQUITY,Y
INS000618,Instrument INS000618,EQUITY,Y
INS000619,Instrument INS000619,BOND,Y
INS000620,Instrument INS000620,EQUITY,Y
INS000621,Instrument INS000621,BOND,Y
INS000622,Instrument INS000622,BOND,Y
INS000623,Instrument INS000623,EQUITY,Y
INS000624,Instrument INS000624,EQUITY,Y
INS000625,Instrument INS000625,FX,Y
INS000626,Instrument INS000626,EQUITY,Y
INS000627,Instrument INS000627,FX,Y
INS000628,Instrument INS000628,FX,Y
INS000629,Instrument INS000629,EQUITY,Y
INS000630,Instrument INS000630,FX,Y
INS000631,Instrument INS000631,BOND,Y
INS000632,Instrument INS000632,BOND,Y
INS000633,Instrument INS000633,EQUITY,Y
INS000634,Instrument INS000634,EQUITY,Y
INS000635,Instrument INS000635,EQUITY,Y
INS000636,Instrument INS000636,BOND,Y
INS000637,Instrument INS000637,FX,Y
INS000638,Instrument INS000638,BOND,Y
INS000639,Instrument INS000639,FX,Y
INS000640,Instrument INS000640,FX,Y
INS000641,Instrument INS000641,EQUITY,Y
INS000642,Instrument INS000642,EQUITY,Y
INS000643,Instrument INS000643,EQUITY,Y
INS000644,Instrument INS000644,BOND,Y
INS000645,Instrument INS000645,BOND,Y
INS000646,Instrument INS000646,BOND,Y
INS000647,Instrument INS000647,EQUITY,Y
INS000648,Instrument INS000648,EQUITY,Y
INS000649,Instrument INS000649,FX,Y
INS000650,Instrument INS000650,FX,Y
