COUNTRY_CD,COUNTRY_NAME,REGION,IS_ACTIVE
C00160,Country_C00160,APAC,Y
C00161,Country_C00161,APAC,Y
C00162,Country_C00162,EMEA,Y
C00163,Country_C00163,EMEA,Y
C00164,Country_C00164,EMEA,Y
C00165,Country_C00165,,Y
C00166,Country_C00166,EMEA,Y
C00167,Country_C00167,,Y
C00168,Country_C00168,,Y
C00169,Country_C00169,EMEA,Y
C00170,Country_C00170,EMEA,Y
C00171,Country_C00171,EMEA,Y
C00172,Country_C00172,APAC,Y
C00173,Country_C00173,EMEA,Y
C00174,Country_C00174,APAC,Y
C00175,Country_C00175,,Y
C00176,Country_C00176,APAC,Y
C00177,Country_C00177,EMEA,Y
C00178,Country_C00178,,Y
C00179,Country_C00179,,Y
C00180,Country_C00180,,Y
C00181,Country_C00181,APAC,Y
C00182,Country_C00182,EMEA,Y
C00183,Country_C00183,,Y
C00184,Country_C00184,,Y
C00185,Country_C00185,,Y
C00186,Country_C00186,APAC,Y
C00187,Country_C00187,APAC,Y
C00188,Country_C00188,EMEA,Y
C00189,Country_C00189,APAC,Y
C00190,Country_C00190,,Y
C00191,Country_C00191,EMEA,Y
C00192,Country_C00192,,Y
C00193,Country_C00193,,Y
C00194,Country_C00194,APAC,Y
C00195,Country_C00195,EMEA,Y
C00196,Country_C00196,APAC,Y
C00197,Country_C00197,APAC,Y
C00198,Country_C00198,EMEA,Y
C00199,Country_C00199,,Y
C00200,Country_C00200,,Y
C00201,Country_C00201,EMEA,Y
C00202,Country_C00202,,Y
C00203,Country_C00203,EMEA,Y
C00204,Country_C00204,EMEA,Y
C00205,Country_C00205,APAC,Y
C00206,Country_C00206,EMEA,Y
C00207,Country_C00207,APAC,Y
C00208,Country_C00208,,Y
C00209,Country_C00209,,Y
C00210,Country_C00210,,Y
C00211,Country_C00211,,Y
C00212,Country_C00212,APAC,Y
C00213,Country_C00213,,Y
C00214,Country_C00214,EMEA,Y
C00215,Country_C00215,EMEA,Y
C00216,Country_C00216,EMEA,Y
C00217,Country_C00217,APAC,Y
C00218,Country_C00218,,Y
C00219,Country_C00219,,Y
C00220,Country_C00220,,Y
C00221,Country_C00221,APAC,Y
C00222,Country_C00222,EMEA,Y
C00223,Country_C00223,EMEA,Y
C00224,Country_C00224,,Y
C00225,Country_C00225,EMEA,Y
C00226,Country_C00226,EMEA,Y
C00227,Country_C00227,APAC,Y
C00228,Country_C00228,APAC,Y
C00229,Country_C00229,APAC,Y
C00230,Country_C00230,APAC,Y
C00231,Country_C00231,,Y
C00232,Country_C00232,APAC,Y
C00233,Country_C00233,EMEA,Y
C00234,Country_C00234,,Y
C00235,Country_C00235,EMEA,Y
C00236,Country_C00236,EMEA,Y
C00237,Country_C00237,EMEA,Y
C00238,Country_C00238,APAC,Y
C00239,Country_C00239,APAC,Y
C00240,Country_C00240,,Y
C00241,Country_C00241,,Y
C00242,Country_C00242,APAC,Y
C00243,Country_C00243,EMEA,Y
C00244,Country_C00244,,Y
C00245,Country_C00245,APAC,Y
C00246,Country_C00246,APAC,Y
C00247,Country_C00247,APAC,Y
C00248,Country_C00248,EMEA,Y
C00249,Country_C00249,APAC,Y
C00250,Country_C00250,APAC,Y
C00251,Country_C00251,APAC,Y
C00252,Country_C00252,APAC,Y
C00253,Country_C00253,,Y
C00254,Country_C00254,,Y
C00255,Country_C00255,APAC,Y
C00256,Country_C00256,EMEA,Y
C00257,Country_C00257,,Y
C00258,Country_C00258,APAC,Y
C00259,Country_C00259,,Y
C00260,Country_C00260,,Y
C00261,Country_C00261,EMEA,Y
C00262,Country_C00262,APAC,Y
C00263,Country_C00263,APAC,Y
C00264,Country_C00264,EMEA,Y
C00265,Country_C00265,EMEA,Y
C00266,Country_C00266,APAC,Y
C00267,Country_C00267,APAC,Y
C00268,Country_C00268,EMEA,Y
C00269,Country_C00269,,Y
C00270,Country_C00270,,Y
C00271,Country_C00271,EMEA,Y
C00272,Country_C00272,,Y
C00273,Country_C00273,EMEA,Y
C00274,Country_C00274,,Y
C00275,Country_C00275,,Y
C00276,Country_C00276,APAC,Y
C00277,Country_C00277,APAC,Y
C00278,Country_C00278,,Y
C00279,Country_C00279,,Y
C00280,Country_C00280,APAC,Y
C00281,Country_C00281,APAC,Y
C00282,Country_C00282,APAC,Y
C00283,Country_C00283,EMEA,Y
C00284,Country_C00284,,Y
C00285,Country_C00285,APAC,Y
C00286,Country_C00286,,Y
C00287,Country_C00287,EMEA,Y
C00288,Country_C00288,EMEA,Y
C00289,Country_C00289,APAC,Y
C00290,Country_C00290,EMEA,Y
C00291,Country_C00291,,Y
C00292,Country_C00292,APAC,Y
C00293,Country_C00293,,Y
C00294,Country_C00294,,Y
C00295,Country_C00295,EMEA,Y
C00296,Country_C00296,EMEA,Y
C00297,Country_C00297,EMEA,Y
C00298,Country_C00298,EMEA,Y
C00299,Country_C00299,EMEA,Y
C00300,Country_C00300,APAC,Y
C00301,Country_C00301,,Y
C00302,Country_C00302,,Y
C00303,Country_C00303,,Y
C00304,Country_C00304,,Y
C00305,Country_C00305,EMEA,Y
C00306,Country_C00306,,Y
C00307,Country_C00307,APAC,Y
C00308,Country_C00308,APAC,Y
C00309,Country_C00309,,Y
C00310,Country_C00310,,Y
C00311,Country_C00311,APAC,Y
C00312,Country_C00312,APAC,Y
C00313,Country_C00313,EMEA,Y
C00314,Country_C00314,APAC,Y
C00315,Country_C00315,EMEA,Y
C00316,Country_C00316,EMEA,Y
C00317,Country_C00317,EMEA,Y
C00318,Country_C00318,EMEA,Y
C00319,Country_C00319,EMEA,Y
C00320,Country_C00320,,Y
C00321,Country_C00321,APAC,Y
C00322,Country_C00322,EMEA,Y
C00323,Country_C00323,APAC,Y
C00324,Country_C00324,APAC,Y
C00325,Country_C00325,EMEA,Y
C00326,Country_C00326,,Y
C00327,Country_C00327,EMEA,Y
C00328,Country_C00328,,Y
C00329,Country_C00329,APAC,Y
C00330,Country_C00330,,Y
C00331,Country_C00331,,Y
C00332,Country_C00332,,Y
C00333,Country_C00333,APAC,Y
C00334,Country_C00334,APAC,Y
C00335,Country_C00335,,Y
C00336,Country_C00336,,Y
C00337,Country_C00337,EMEA,Y
C00338,Country_C00338,,Y
C00339,Country_C00339,EMEA,Y
C00340,Country_C00340,,Y
C00341,Country_C00341,EMEA,Y
C00342,Country_C00342,APAC,Y
C00343,Country_C00343,,Y
C00344,Country_C00344,,Y
C00345,Country_C00345,,Y
C00346,Country_C00346,,Y
C00347,Country_C00347,EMEA,Y
C00348,Country_C00348,,Y
C00349,Country_C00349,APAC,Y
C00350,Country_C00350,APAC,Y
C00351,Country_C00351,,Y
C00352,Country_C00352,APAC,Y
C00353,Country_C00353,,Y
C00354,Country_C00354,,Y
C00355,Country_C00355,APAC,Y
C00356,Country_C00356,,Y
C00357,Country_C00357,APAC,Y
C00358,Country_C00358,EMEA,Y
C00359,Country_C00359,,Y
C00360,Country_C00360,EMEA,Y
C00361,Country_C00361,APAC,Y
C00362,Country_C00362,EMEA,Y
C00363,Country_C00363,EMEA,Y
C00364,Country_C00364,APAC,Y
C00365,Country_C00365,EMEA,Y
C00366,Country_C00366,EMEA,Y
C00367,Country_C00367,APAC,Y
C00368,Country_C00368,EMEA,Y
C00369,Country_C00369,APAC,Y
C00370,Country_C00370,EMEA,Y
C00371,Country_C00371,APAC,Y
C00372,Country_C00372,APAC,Y
C00373,Country_C00373,EMEA,Y
C00374,Country_C00374,EMEA,Y
C00375,Country_C00375,EMEA,Y
C00376,Country_C00376,,Y
C00377,Country_C00377,,Y
C00378,Country_C00378,,Y
C00379,Country_C00379,APAC,Y
C00380,Country_C00380,EMEA,Y
C00381,Country_C00381,APAC,Y
C00382,Country_C00382,,Y
C00383,Country_C00383,EMEA,Y
C00384,Country_C00384,APAC,Y
C00385,Country_C00385,EMEA,Y
C00386,Country_C00386,APAC,Y
C00387,Country_C00387,EMEA,Y
C00388,Country_C00388,,Y
C00389,Country_C00389,,Y
C00390,Country_C00390,EMEA,Y
C00391,Country_C00391,APAC,Y
C00392,Country_C00392,,Y
C00393,Country_C00393,,Y
C00394,Country_C00394,,Y
C00395,Country_C00395,EMEA,Y
C00396,Country_C00396,EMEA,Y
C00397,Country_C00397,APAC,Y
C00398,Country_C00398,APAC,Y
C00399,Country_C00399,APAC,Y
C00400,Country_C00400,EMEA,Y
C00401,Country_C00401,EMEA,Y
C00402,Country_C00402,APAC,Y
C00403,Country_C00403,APAC,Y
C00404,Country_C00404,EMEA,Y
C00405,Country_C00405,APAC,Y
C00406,Country_C00406,,Y
C00407,Country_C00407,EMEA,Y
C00408,Country_C00408,APAC,Y
C00409,Country_C00409,EMEA,Y
C00410,Country_C00410,,Y
C00411,Country_C00411,EMEA,Y
C00412,Country_C00412,EMEA,Y
C00413,Country_C00413,EMEA,Y
C00414,Country_C00414,EMEA,Y
C00415,Country_C00415,,Y
C00416,Country_C00416,EMEA,Y
C00417,Country_C00417,EMEA,Y
C00418,Country_C00418,APAC,Y
C00419,Country_C00419,EMEA,Y
C00420,Country_C00420,APAC,Y
C00421,Country_C00421,,Y
C00422,Country_C00422,,Y
C00423,Country_C00423,,Y
C00424,Country_C00424,,Y
C00425,Country_C00425,APAC,Y
C00426,Country_C00426,EMEA,Y
C00427,Country_C00427,,Y
C00428,Country_C00428,EMEA,Y
C00429,Country_C00429,APAC,Y
C00430,Country_C00430,APAC,Y
C00431,Country_C00431,APAC,Y
C00432,Country_C00432,,Y
C00433,Country_C00433,EMEA,Y
C00434,Country_C00434,EMEA,Y
C00435,Country_C00435,EMEA,Y
C00436,Country_C00436,APAC,Y
C00437,Country_C00437,,Y
C00438,Country_C00438,APAC,Y
C00439,Country_C00439,APAC,Y
C00440,Country_C00440,EMEA,Y
C00441,Country_C00441,APAC,Y
C00442,Country_C00442,EMEA,Y
C00443,Country_C00443,,Y
C00444,Country_C00444,EMEA,Y
C00445,Country_C00445,,Y
C00446,Country_C00446,EMEA,Y
C00447,Country_C00447,APAC,Y
C00448,Country_C00448,APAC,Y
C00449,Country_C00449,,Y
C00450,Country_C00450,,Y
C00451,Country_C00451,,Y
C00452,Country_C00452,EMEA,Y
C00453,Country_C00453,EMEA,Y
C00454,Country_C00454,,Y
C00455,Country_C00455,APAC,Y
C00456,Country_C00456,EMEA,Y
C00457,Country_C00457,EMEA,Y
C00458,Country_C00458,EMEA,Y
C00459,Country_C00459,,Y
C00460,Country_C00460,,Y
C00461,Country_C00461,,Y
C00462,Country_C00462,,Y
C00463,Country_C00463,,Y
C00464,Country_C00464,APAC,Y
C00465,Country_C00465,APAC,Y
C00466,Country_C00466,,Y
C00467,Country_C00467,EMEA,Y
C00468,Country_C00468,,Y
C00469,Country_C00469,APAC,Y
C00470,Country_C00470,APAC,Y
C00471,Country_C00471,EMEA,Y
C00472,Country_C00472,APAC,Y
C00473,Country_C00473,,Y
C00474,Country_C00474,EMEA,Y
C00475,Country_C00475,,Y
C00476,Country_C00476,,Y
C00477,Country_C00477,EMEA,Y
C00478,Country_C00478,,Y
C00479,Country_C00479,APAC,Y
C00480,Country_C00480,,Y
C00481,Country_C00481,EMEA,Y
C00482,Country_C00482,EMEA,Y
C00483,Country_C00483,EMEA,Y
C00484,Country_C00484,,Y
C00485,Country_C00485,EMEA,Y
C00486,Country_C00486,EMEA,Y
C00487,Country_C00487,,Y
C00488,Country_C00488,APAC,Y
C00489,Country_C00489,,Y
C00490,Country_C00490,EMEA,Y
C00491,Country_C00491,EMEA,Y
C00492,Country_C00492,,Y
C00493,Country_C00493,APAC,Y
C00494,Country_C00494,EMEA,Y
C00495,Country_C00495,EMEA,Y
C00496,Country_C00496,EMEA,Y
C00497,Country_C00497,,Y
C00498,Country_C00498,EMEA,Y
C00499,Country_C00499,APAC,Y
C00500,Country_C00500,EMEA,Y
C00501,Country_C00501,EMEA,Y
C00502,Country_C00502,APAC,Y
C00503,Country_C00503,EMEA,Y
C00504,Country_C00504,,Y
C00505,Country_C00505,,Y
C00506,Country_C00506,,Y
C00507,Country_C00507,APAC,Y
C00508,Country_C00508,EMEA,Y
C00509,Country_C00509,,Y
C00510,Country_C00510,APAC,Y
C00511,Country_C00511,EMEA,Y
C00512,Country_C00512,APAC,Y
C00513,Country_C00513,,Y
C00514,Country_C00514,,Y
C00515,Country_C00515,,Y
C00516,Country_C00516,APAC,Y
C00517,Country_C00517,APAC,Y
C00518,Country_C00518,,Y
C00519,Country_C00519,APAC,Y
C00520,Country_C00520,,Y
C00521,Country_C00521,,Y
C00522,Country_C00522,EMEA,Y
C00523,Country_C00523,APAC,Y
C00524,Country_C00524,,Y
C00525,Country_C00525,,Y
C00526,Country_C00526,APAC,Y
C00527,Country_C00527,EMEA,Y
C00528,Country_C00528,EMEA,Y
C00529,Country_C00529,,Y
C00530,Country_C00530,APAC,Y
C00531,Country_C00531,EMEA,Y
C00532,Country_C00532,APAC,Y
C00533,Country_C00533,APAC,Y
C00534,Country_C00534,,Y
C00535,Country_C00535,EMEA,Y
C00536,Country_C00536,,Y
C00537,Country_C00537,EMEA,Y
C00538,Country_C00538,EMEA,Y
C00539,Country_C00539,EMEA,Y
C00540,Country_C00540,EMEA,Y
C00541,Country_C00541,EMEA,Y
C00542,Country_C00542,APAC,Y
C00543,Country_C00543,,Y
C00544,Country_C00544,APAC,Y
C00545,Country_C00545,EMEA,Y
C00546,Country_C00546,,Y
C00547,Country_C00547,EMEA,Y
C00548,Country_C00548,,Y
C00549,Country_C00549,APAC,Y
C00550,Country_C00550,,Y
C00551,Country_C00551,,Y
C00552,Country_C00552,,Y
C00553,Country_C00553,,Y
C00554,Country_C00554,,Y
C00555,Country_C00555,EMEA,Y
C00556,Country_C00556,,Y
C00557,Country_C00557,,Y
C00558,Country_C00558,APAC,Y
C00559,Country_C00559,,Y
C00560,Country_C00560,APAC,Y
C00561,Country_C00561,EMEA,Y
C00562,Country_C00562,,Y
C00563,Country_C00563,APAC,Y
C00564,Country_C00564,APAC,Y
C00565,Country_C00565,EMEA,Y
C00566,Country_C00566,,Y
C00567,Country_C00567,,Y
C00568,Country_C00568,APAC,Y
C00569,Country_C00569,,Y
C00570,Country_C00570,APAC,Y
C00571,Country_C00571,,Y
C00572,Country_C00572,APAC,Y
C00573,Country_C00573,,Y
C00574,Country_C00574,EMEA,Y
C00575,Country_C00575,,Y
C00576,Country_C00576,,Y
C00577,Country_C00577,EMEA,Y
C00578,Country_C00578,,Y
C00579,Country_C00579,EMEA,Y
C00580,Country_C00580,,Y
C00581,Country_C00581,APAC,Y
C00582,Country_C00582,APAC,Y
C00583,Country_C00583,,Y
C00584,Country_C00584,,Y
C00585,Country_C00585,,Y
C00586,Country_C00586,APAC,Y
C00587,Country_C00587,,Y
C00588,Country_C00588,APAC,Y
C00589,Country_C00589,EMEA,Y
C00590,Country_C00590,APAC,Y
C00591,Country_C00591,APAC,Y
C00592,Country_C00592,EMEA,Y
C00593,Country_C00593,APAC,Y
C00594,Country_C00594,,Y
C00595,Country_C00595,,Y
C00596,Country_C00596,APAC,Y
C00597,Country_C00597,,Y
C00598,Country_C00598,APAC,Y
C00599,Country_C00599,,Y
C00600,Country_C00600,,Y
C00601,Country_C00601,APAC,Y
C00602,Country_C00602,,Y
C00603,Country_C00603,APAC,Y
C00604,Country_C00604,,Y
C00605,Country_C00605,,Y
C00606,Country_C00606,EMEA,Y
C00607,Country_C00607,EMEA,Y
C00608,Country_C00608,APAC,Y
C00609,Country_C00609,EMEA,Y
C00610,Country_C00610,APAC,Y
C00611,Country_C00611,EMEA,Y
C00612,Country_C00612,,Y
C00613,Country_C00613,APAC,Y
C00614,Country_C00614,APAC,Y
C00615,Country_C00615,,Y
C00616,Country_C00616,APAC,Y
C00617,Country_C00617,APAC,Y
C00618,Country_C00618,EMEA,Y
C00619,Country_C00619,APAC,Y
C00620,Country_C00620,,Y
C00621,Country_C00621,EMEA,Y
C00622,Country_C00622,EMEA,Y
C00623,Country_C00623,,Y
C00624,Country_C00624,,Y
C00625,Country_C00625,EMEA,Y
C00626,Country_C00626,APAC,Y
C00627,Country_C00627,EMEA,Y
C00628,Country_C00628,,Y
C00629,Country_C00629,EMEA,Y
C00630,Country_C00630,,Y
C00631,Country_C00631,EMEA,Y
C00632,Country_C00632,APAC,Y
C00633,Country_C00633,EMEA,Y
C00634,Country_C00634,EMEA,Y
C00635,Country_C00635,,Y
C00636,Country_C00636,,Y
C00637,Country_C00637,,Y
C00638,Country_C00638,EMEA,Y
C00639,Country_C00639,APAC,Y
C00640,Country_C00640,,Y
C00641,Country_C00641,,Y
C00642,Country_C00642,EMEA,Y
C00643,Country_C00643,,Y
C00644,Country_C00644,APAC,Y
C00645,Country_C00645,APAC,Y
C00646,Country_C00646,,Y
C00647,Country_C00647,,Y
C00648,Country_C00648,EMEA,Y
C00649,Country_C00649,APAC,Y
C00650,Country_C00650,APAC,Y
C00651,Country_C00651,,Y
C00652,Country_C00652,EMEA,Y
C00653,Country_C00653,APAC,Y
C00654,Country_C00654,APAC,Y
C00655,Country_C00655,EMEA,Y
C00656,Country_C00656,EMEA,Y
C00657,Country_C00657,APAC,Y
C00658,Country_C00658,APAC,Y
C00659,Country_C00659,EMEA,Y
C00660,Country_C00660,APAC,Y
C00661,Country_C00661,,Y
C00662,Country_C00662,,Y
C00663,Country_C00663,EMEA,Y
C00664,Country_C00664,EMEA,Y
C00665,Country_C00665,EMEA,Y
C00666,Country_C00666,,Y
C00667,Country_C00667,APAC,Y
C00668,Country_C00668,,Y
C00669,Country_C00669,APAC,Y
C00670,Country_C00670,,Y
C00671,Country_C00671,APAC,Y
C00672,Country_C00672,,Y
C00673,Country_C00673,EMEA,Y
C00674,Country_C00674,,Y
C00675,Country_C00675,APAC,Y
C00676,Country_C00676,,Y
C00677,Country_C00677,,Y
C00678,Country_C00678,,Y
C00679,Country_C00679,EMEA,Y
C00680,Country_C00680,,Y
C00681,Country_C00681,EMEA,Y
C00682,Country_C00682,EMEA,Y
C00683,Country_C00683,,Y
C00684,Country_C00684,,Y
C00685,Country_C00685,,Y
C00686,Country_C00686,APAC,Y
C00687,Country_C00687,,Y
C00688,Country_C00688,EMEA,Y
C00689,Country_C00689,,Y
C00690,Country_C00690,APAC,Y
C00691,Country_C00691,,Y
C00692,Country_C00692,APAC,Y
C00693,Country_C00693,APAC,Y
C00694,Country_C00694,,Y
C00695,Country_C00695,EMEA,Y
C00696,Country_C00696,APAC,Y
C00697,Country_C00697,,Y
C00698,Country_C00698,,Y
C00699,Country_C00699,EMEA,Y
C00700,Country_C00700,APAC,Y
C00701,Country_C00701,APAC,Y
C00702,Country_C00702,,Y
C00703,Country_C00703,,Y
C00704,Country_C00704,EMEA,Y
C00705,Country_C00705,EMEA,Y
C00706,Country_C00706,APAC,Y
C00707,Country_C00707,APAC,Y
C00708,Country_C00708,,Y
C00709,Country_C00709,APAC,Y
C00710,Country_C00710,EMEA,Y
C00711,Country_C00711,EMEA,Y
C00712,Country_C00712,,Y
C00713,Country_C00713,EMEA,Y
C00714,Country_C00714,EMEA,Y
C00715,Country_C00715,EMEA,Y
C00716,Country_C00716,EMEA,Y
C00717,Country_C00717,,Y
C00718,Country_C00718,,Y
C00719,Country_C00719,APAC,Y
C00720,Country_C00720,EMEA,Y
C00721,Country_C00721,APAC,Y
C00722,Country_C00722,,Y
C00723,Country_C00723,,Y
C00724,Country_C00724,,Y
C00725,Country_C00725,,Y
C00726,Country_C00726,,Y
C00727,Country_C00727,,Y
C00728,Country_C00728,,Y
C00729,Country_C00729,EMEA,Y
C00730,Country_C00730,APAC,Y
C00731,Country_C00731,,Y
C00732,Country_C00732,EMEA,Y
C00733,Country_C00733,EMEA,Y
C00734,Country_C00734,APAC,Y
C00735,Country_C00735,,Y
C00736,Country_C00736,APAC,Y
C00737,Country_C00737,,Y
C00738,Country_C00738,EMEA,Y
C00739,Country_C00739,EMEA,Y
C00740,Country_C00740,EMEA,Y
C00741,Country_C00741,EMEA,Y
C00742,Country_C00742,APAC,Y
C00743,Country_C00743,,Y
C00744,Country_C00744,,Y
C00745,Country_C00745,APAC,Y
C00746,Country_C00746,,Y
C00747,Country_C00747,EMEA,Y
C00748,Country_C00748,,Y
C00749,Country_C00749,EMEA,Y
C00750,Country_C00750,APAC,Y
C00751,Country_C00751,,Y
C00752,Country_C00752,APAC,Y
C00753,Country_C00753,,Y
C00754,Country_C00754,EMEA,Y
C00755,Country_C00755,APAC,Y
C00756,Country_C00756,,Y
C00757,Country_C00757,EMEA,Y
C00758,Country_C00758,APAC,Y
C00759,Country_C00759,APAC,Y
C00760,Country_C00760,,Y
C00761,Country_C00761,,Y
C00762,Country_C00762,,Y
C00763,Country_C00763,EMEA,Y
C00764,Country_C00764,,Y
C00765,Country_C00765,APAC,Y
C00766,Country_C00766,APAC,Y
C00767,Country_C00767,,Y
C00768,Country_C00768,,Y
C00769,Country_C00769,APAC,Y
C00770,Country_C00770,EMEA,Y
C00771,Country_C00771,,Y
C00772,Country_C00772,,Y
C00773,Country_C00773,APAC,Y
C00774,Country_C00774,,Y
C00775,Country_C00775,EMEA,Y
C00776,Country_C00776,APAC,Y
C00777,Country_C00777,,Y
C00778,Country_C00778,APAC,Y
C00779,Country_C00779,,Y
C00780,Country_C00780,,Y
C00781,Country_C00781,,Y
C00782,Country_C00782,EMEA,Y
C00783,Country_C00783,EMEA,Y
C00784,Country_C00784,APAC,Y
C00785,Country_C00785,,Y
C00786,Country_C00786,,Y
C00787,Country_C00787,EMEA,Y
C00788,Country_C00788,,Y
C00789,Country_C00789,EMEA,Y
C00790,Country_C00790,,Y
C00791,Country_C00791,APAC,Y
C00792,Country_C00792,,Y
C00793,Country_C00793,,Y
C00794,Country_C00794,EMEA,Y
C00795,Country_C00795,,Y
C00796,Country_C00796,,Y
C00797,Country_C00797,EMEA,Y
C00798,Country_C00798,APAC,Y
C00799,Country_C00799,APAC,Y
C00800,Country_C00800,EMEA,Y
C00801,Country_C00801,EMEA,Y
C00802,Country_C00802,EMEA,Y
C00803,Country_C00803,EMEA,Y
C00804,Country_C00804,EMEA,Y
C00805,Country_C00805,APAC,Y
C00806,Country_C00806,APAC,Y
C00807,Country_C00807,EMEA,Y
C00808,Country_C00808,,Y
