CURRENCY_CODE,CURRENCY_NAME
C517,Currency_517
C518,Currency_518
C519,Currency_519
C520,Currency_520
C521,Currency_521
C522,Currency_522
C523,Currency_523
C524,Currency_524
C525,Currency_525
C526,Currency_526
C527,Currency_527
C528,Currency_528
C529,Currency_529
C530,Currency_530
C531,Currency_531
C532,Currency_532
C533,Currency_533
C534,Currency_534
C535,Currency_535
C536,Currency_536
C537,Currency_537
C538,Currency_538
C539,Currency_539
C540,Currency_540
C541,Currency_541
C542,Currency_542
C543,Currency_543
C544,Currency_544
C545,Currency_545
C546,Currency_546
C547,Currency_547
C548,Currency_548
C549,Currency_549
C550,Currency_550
C551,Currency_551
C552,Currency_552
C553,Currency_553
C554,Currency_554
C555,Currency_555
C556,Currency_556
C557,Currency_557
C558,Currency_558
C559,Currency_559
C560,Currency_560
C561,Currency_561
C562,Currency_562
C563,Currency_563
C564,Currency_564
C565,Currency_565
C566,Currency_566
C567,Currency_567
C568,Currency_568
C569,Currency_569
C570,Currency_570
C571,Currency_571
C572,Currency_572
C573,Currency_573
C574,Currency_574
C575,Currency_575
C576,Currency_576
C577,Currency_577
C578,Currency_578
C579,Currency_579
C580,Currency_580
C581,Currency_581
C582,Currency_582
C583,Currency_583
C584,Currency_584
C585,Currency_585
C586,Currency_586
C587,Currency_587
C588,Currency_588
C589,Currency_589
C590,Currency_590
C591,Currency_591
C592,Currency_592
C593,Currency_593
C594,Currency_594
C595,Currency_595
C596,Currency_596
C597,Currency_597
C598,Currency_598
C599,Currency_599
C600,Currency_600
C601,Currency_601
C602,Currency_602
C603,Currency_603
C604,Currency_604
C605,Currency_605
C606,Currency_606
C607,Currency_607
C608,Currency_608
C609,Currency_609
C610,Currency_610
C611,Currency_611
C612,Currency_612
C613,Currency_613
C614,Currency_614
C615,Currency_615
C616,Currency_616
C617,Currency_617
C618,Currency_618
C619,Currency_619
C620,Currency_620
C621,Currency_621
C622,Currency_622
C623,Currency_623
C624,Currency_624
C625,Currency_625
C626,Currency_626
C627,Currency_627
C628,Currency_628
C629,Currency_629
C630,Currency_630
C631,Currency_631
C632,Currency_632
C633,Currency_633
C634,Currency_634
C635,Currency_635
C636,Currency_636
C637,Currency_637
C638,Currency_638
C639,Currency_639
C640,Currency_640
C641,Currency_641
C642,Currency_642
C643,Currency_643
C644,Currency_644
C645,Currency_645
C646,Currency_646
C647,Currency_647
C648,Currency_648
C649,Currency_649
C650,Currency_650
C651,Currency_651
C652,Currency_652
C653,Currency_653
C654,Currency_654
C655,Currency_655
C656,Currency_656
C657,Currency_657
C658,Currency_658
C659,Currency_659
C660,Currency_660
C661,Currency_661
C662,Currency_662
C663,Currency_663
C664,Currency_664
C665,Currency_665
C666,Currency_666
C667,Currency_667
C668,Currency_668
C669,Currency_669
C670,Currency_670
C671,Currency_671
C672,Currency_672
C673,Currency_673
C674,Currency_674
C675,Currency_675
C676,Currency_676
C677,Currency_677
C678,Currency_678
C679,Currency_679
C680,Currency_680
C681,Currency_681
C682,Currency_682
C683,Currency_683
C684,Currency_684
C685,Currency_685
C686,Currency_686
C687,Currency_687
C688,Currency_688
C689,Currency_689
C690,Currency_690
C691,Currency_691
C692,Currency_692
C693,Currency_693
C694,Currency_694
C695,Currency_695
C696,Currency_696
C697,Currency_697
C698,Currency_698
C699,Currency_699
C700,Currency_700
C701,Currency_701
C702,Currency_702
C703,Currency_703
C704,Currency_704
C705,Currency_705
C706,Currency_706
C707,Currency_707
C708,Currency_708
C709,Currency_709
C710,Currency_710
C711,Currency_711
C712,Currency_712
C713,Currency_713
C714,Currency_714
C715,Currency_715
C716,Currency_716
C717,Currency_717
C718,Currency_718
C719,Currency_719
C720,Currency_720
C721,Currency_721
C722,Currency_722
C723,Currency_723
C724,Currency_724
C725,Currency_725
C726,Currency_726
C727,Currency_727
C728,Currency_728
C729,Currency_729
C730,Currency_730
C731,Currency_731
C732,Currency_732
C733,Currency_733
C734,Currency_734
C735,Currency_735
C736,Currency_736
C737,Currency_737
C738,Currency_738
C739,Currency_739
C740,Currency_740
C741,Currency_741
C742,Currency_742
C743,Currency_743
C744,Currency_744
C745,Currency_745
C746,Currency_746
C747,Currency_747
C748,Currency_748
C749,Currency_749
C750,Currency_750
C751,Currency_751
C752,Currency_752
C753,Currency_753
C754,Currency_754
C755,Currency_755
C756,Currency_756
C757,Currency_757
C758,Currency_758
C759,Currency_759
C760,Currency_760
C761,Currency_761
C762,Currency_762
C763,Currency_763
C764,Currency_764
C765,Currency_765
C766,Currency_766
C767,Currency_767
C768,Currency_768
C769,Currency_769
C770,Currency_770
C771,Currency_771
C772,Currency_772
C773,Currency_773
C774,Currency_774
C775,Currency_775
C776,Currency_776
C777,Currency_777
C778,Currency_778
C779,Currency_779
C780,Currency_780
C781,Currency_781
C782,Currency_782
C783,Currency_783
C784,Currency_784
C785,Currency_785
C786,Currency_786
C787,Currency_787
C788,Currency_788
C789,Currency_789
C790,Currency_790
C791,Currency_791
C792,Currency_792
C793,Currency_793
C794,Currency_794
C795,Currency_795
C796,Currency_796
C797,Currency_797
C798,Currency_798
C799,Currency_799
C800,Currency_800
C801,Currency_801
C802,Currency_802
C803,Currency_803
C804,Currency_804
C805,Currency_805
C806,Currency_806
C807,Currency_807
C808,Currency_808
C809,Currency_809
C810,Currency_810
C811,Currency_811
C812,Currency_812
C813,Currency_813
C814,Currency_814
C815,Currency_815
C816,Currency_816
C817,Currency_817
C818,Currency_818
C819,Currency_819
C820,Currency_820
C821,Currency_821
C822,Currency_822
C823,Currency_823
C824,Currency_824
C825,Currency_825
C826,Currency_826
C827,Currency_827
C828,Currency_828
C829,Currency_829
C830,Currency_830
C831,Currency_831
C832,Currency_832
C833,Currency_833
C834,Currency_834
C835,Currency_835
C836,Currency_836
C837,Currency_837
C838,Currency_838
C839,Currency_839
C840,Currency_840
C841,Currency_841
C842,Currency_842
C843,Currency_843
C844,Currency_844
C845,Currency_845
C846,Currency_846
C847,Currency_847
C848,Currency_848
C849,Currency_849
C850,Currency_850
C851,Currency_851
C852,Currency_852
C853,Currency_853
C854,Currency_854
C855,Currency_855
C856,Currency_856
C857,Currency_857
C858,Currency_858
C859,Currency_859
C860,Currency_860
C861,Currency_861
C862,Currency_862
C863,Currency_863
C864,Currency_864
C865,Currency_865
C866,Currency_866
C867,Currency_867
C868,Currency_868
C869,Currency_869
C870,Currency_870
C871,Currency_871
C872,Currency_872
C873,Currency_873
C874,Currency_874
C875,Currency_875
C876,Currency_876
C877,Currency_877
C878,Currency_878
C879,Currency_879
C880,Currency_880
C881,Currency_881
C882,Currency_882
C883,Currency_883
C884,Currency_884
C885,Currency_885
C886,Currency_886
C887,Currency_887
C888,Currency_888
C889,Currency_889
C890,Currency_890
C891,Currency_891
C892,Currency_892
C893,Currency_893
C894,Currency_894
C895,Currency_895
C896,Currency_896
C897,Currency_897
C898,Currency_898
C899,Currency_899
C900,Currency_900
C901,Currency_901
C902,Currency_902
C903,Currency_903
C904,Currency_904
C905,Currency_905
C906,Currency_906
C907,Currency_907
C908,Currency_908
C909,Currency_909
C910,Currency_910
C911,Currency_911
C912,Currency_912
C913,Currency_913
C914,Currency_914
C915,Currency_915
C916,Currency_916
C917,Currency_917
C918,Currency_918
C919,Currency_919
C920,Currency_920
C921,Currency_921
C922,Currency_922
C923,Currency_923
C924,Currency_924
C925,Currency_925
C926,Currency_926
C927,Currency_927
C928,Currency_928
C929,Currency_929
C930,Currency_930
C931,Currency_931
C932,Currency_932
C933,Currency_933
C934,Currency_934
C935,Currency_935
C936,Currency_936
C937,Currency_937
C938,Currency_938
C939,Currency_939
C940,Currency_940
C941,Currency_941
C942,Currency_942
C943,Currency_943
C944,Currency_944
C945,Currency_945
C946,Currency_946
C947,Currency_947
C948,Currency_948
C949,Currency_949
C950,Currency_950
C951,Currency_951
C952,Currency_952
C953,Currency_953
C954,Currency_954
C955,Currency_955
C956,Currency_956
C957,Currency_957
C958,Currency_958
C959,Currency_959
C960,Currency_960
C961,Currency_961
C962,Currency_962
C963,Currency_963
C964,Currency_964
C965,Currency_965
C966,Currency_966
C967,Currency_967
C968,Currency_968
C969,Currency_969
C970,Currency_970
C971,Currency_971
C972,Currency_972
C973,Currency_973
C974,Currency_974
C975,Currency_975
C976,Currency_976
C977,Currency_977
C978,Currency_978
C979,Currency_979
C980,Currency_980
C981,Currency_981
C982,Currency_982
C983,Currency_983
C984,Currency_984
C985,Currency_985
C986,Currency_986
C987,Currency_987
C988,Currency_988
C989,Currency_989
C990,Currency_990
C991,Currency_991
C992,Currency_992
C993,Currency_993
C994,Currency_994
C995,Currency_995
C996,Currency_996
C997,Currency_997
C998,Currency_998
C999,Currency_999
C1000,Currency_1000
C1001,Currency_1001
C1002,Currency_1002
C1003,Currency_1003
C1004,Currency_1004
C1005,Currency_1005
C1006,Currency_1006
C1007,Currency_1007
C1008,Currency_1008
C1009,Currency_1009
C1010,Currency_1010
C1011,Currency_1011
C1012,Currency_1012
C1013,Currency_1013
C1014,Currency_1014
C1015,Currency_1015
C1016,Currency_1016
C1017,Currency_1017
C1018,Currency_1018
C1019,Currency_1019
C1020,Currency_1020
C1021,Currency_1021
C1022,Currency_1022
C1023,Currency_1023
C1024,Currency_1024
C1025,Currency_1025
C1026,Currency_1026
C1027,Currency_1027
C1028,Currency_1028
C1029,Currency_1029
C1030,Currency_1030
C1031,Currency_1031
C1032,Currency_1032
C1033,Currency_1033
C1034,Currency_1034
C1035,Currency_1035
C1036,Currency_1036
C1037,Currency_1037
C1038,Currency_1038
C1039,Currency_1039
C1040,Currency_1040
C1041,Currency_1041
C1042,Currency_1042
C1043,Currency_1043
C1044,Currency_1044
C1045,Currency_1045
C1046,Currency_1046
C1047,Currency_1047
C1048,Currency_1048
C1049,Currency_1049
C1050,Currency_1050
C1051,Currency_1051
C1052,Currency_1052
C1053,Currency_1053
C1054,Currency_1054
C1055,Currency_1055
C1056,Currency_1056
C1057,Currency_1057
C1058,Currency_1058
C1059,Currency_1059
C1060,Currency_1060
C1061,Currency_1061
C1062,Currency_1062
C1063,Currency_1063
C1064,Currency_1064
C1065,Currency_1065
C1066,Currency_1066
C1067,Currency_1067
C1068,Currency_1068
C1069,Currency_1069
C1070,Currency_1070
C1071,Currency_1071
C1072,Currency_1072
C1073,Currency_1073
C1074,Currency_1074
C1075,Currency_1075
C1076,Currency_1076
C1077,Currency_1077
C1078,Currency_1078
C1079,Currency_1079
C1080,Currency_1080
C1081,Currency_1081
C1082,Currency_1082
C1083,Currency_1083
C1084,Currency_1084
C1085,Currency_1085
C1086,Currency_1086
C1087,Currency_1087
C1088,Currency_1088
C1089,Currency_1089
C1090,Currency_1090
C1091,Currency_1091
C1092,Currency_1092
C1093,Currency_1093
C1094,Currency_1094
C1095,Currency_1095
C1096,Currency_1096
C1097,Currency_1097
C1098,Currency_1098
C1099,Currency_1099
C1100,Currency_1100
C1101,Currency_1101
C1102,Currency_1102
C1103,Currency_1103
C1104,Currency_1104
C1105,Currency_1105
C1106,Currency_1106
C1107,Currency_1107
C1108,Currency_1108
C1109,Currency_1109
C1110,Currency_1110
C1111,Currency_1111
C1112,Currency_1112
C1113,Currency_1113
C1114,Currency_1114
C1115,Currency_1115
C1116,Currency_1116
C1117,Currency_1117
C1118,Currency_1118
C1119,Currency_1119
C1120,Currency_1120
C1121,Currency_1121
C1122,Currency_1122
C1123,Currency_1123
C1124,Currency_1124
C1125,Currency_1125
C1126,Currency_1126
C1127,Currency_1127
C1128,Currency_1128
C1129,Currency_1129
C1130,Currency_1130
C1131,Currency_1131
C1132,Currency_1132
C1133,Currency_1133
C1134,Currency_1134
C1135,Currency_1135
C1136,Currency_1136
C1137,Currency_1137
C1138,Currency_1138
C1139,Currency_1139
C1140,Currency_1140
C1141,Currency_1141
C1142,Currency_1142
C1143,Currency_1143
C1144,Currency_1144
C1145,Currency_1145
C1146,Currency_1146
C1147,Currency_1147
C1148,Currency_1148
C1149,Currency_1149
C1150,Currency_1150
C1151,Currency_1151
C1152,Currency_1152
C1153,Currency_1153
C1154,Currency_1154
C1155,Currency_1155
C1156,Currency_1156
C1157,Currency_1157
C1158,Currency_1158
C1159,Currency_1159
C1160,Currency_1160
C1161,Currency_1161
C1162,Currency_1162
C1163,Currency_1163
C1164,Currency_1164
C1165,Currency_1165
C1166,Currency_1166
C1167,Currency_1167
C1168,Currency_1168
C1169,Currency_1169
C1170,Currency_1170
C1171,Currency_1171
C1172,Currency_1172
C1173,Currency_1173
C1174,Currency_1174
C1175,Currency_1175
C1176,Currency_1176
C1177,Currency_1177
C1178,Currency_1178
C1179,Currency_1179
C1180,Currency_1180
C1181,Currency_1181
C1182,Currency_1182
C1183,Currency_1183
C1184,Currency_1184
C1185,Currency_1185
C1186,Currency_1186
C1187,Currency_1187
C1188,Currency_1188
C1189,Currency_1189
C1190,Currency_1190
C1191,Currency_1191
C1192,Currency_1192
C1193,Currency_1193
C1194,Currency_1194
C1195,Currency_1195
C1196,Currency_1196
C1197,Currency_1197
C1198,Currency_1198
C1199,Currency_1199
C1200,Currency_1200
C1201,Currency_1201
C1202,Currency_1202
C1203,Currency_1203
C1204,Currency_1204
C1205,Currency_1205
C1206,Currency_1206
C1207,Currency_1207
C1208,Currency_1208
C1209,Currency_1209
C1210,Currency_1210
C1211,Currency_1211
C1212,Currency_1212
C1213,Currency_1213
C1214,Currency_1214
C1215,Currency_1215
C1216,Currency_1216
C1217,Currency_1217
C1218,Currency_1218
C1219,Currency_1219
C1220,Currency_1220
C1221,Currency_1221
C1222,Currency_1222
C1223,Currency_1223
C1224,Currency_1224
C1225,Currency_1225
C1226,Currency_1226
C1227,Currency_1227
C1228,Currency_1228
C1229,Currency_1229
C1230,Currency_1230
C1231,Currency_1231
C1232,Currency_1232
C1233,Currency_1233
C1234,Currency_1234
C1235,Currency_1235
C1236,Currency_1236
C1237,Currency_1237
C1238,Currency_1238
C1239,Currency_1239
C1240,Currency_1240
C1241,Currency_1241
C1242,Currency_1242
C1243,Currency_1243
C1244,Currency_1244
C1245,Currency_1245
C1246,Currency_1246
C1247,Currency_1247
C1248,Currency_1248
C1249,Currency_1249
C1250,Currency_1250
C1251,Currency_1251
C1252,Currency_1252
C1253,Currency_1253
C1254,Currency_1254
C1255,Currency_1255
C1256,Currency_1256
C1257,Currency_1257
C1258,Currency_1258
C1259,Currency_1259
C1260,Currency_1260
C1261,Currency_1261
C1262,Currency_1262
C1263,Currency_1263
C1264,Currency_1264
C1265,Currency_1265
C1266,Currency_1266
C1267,Currency_1267
C1268,Currency_1268
C1269,Currency_1269
C1270,Currency_1270
C1271,Currency_1271
C1272,Currency_1272
C1273,Currency_1273
C1274,Currency_1274
C1275,Currency_1275
C1276,Currency_1276
C1277,Currency_1277
C1278,Currency_1278
C1279,Currency_1279
C1280,Currency_1280
C1281,Currency_1281
C1282,Currency_1282
C1283,Currency_1283
C1284,Currency_1284
C1285,Currency_1285
C1286,Currency_1286
C1287,Currency_1287
C1288,Currency_1288
C1289,Currency_1289
C1290,Currency_1290
C1291,Currency_1291
C1292,Currency_1292
C1293,Currency_1293
C1294,Currency_1294
C1295,Currency_1295
C1296,Currency_1296
C1297,Currency_1297
C1298,Currency_1298
C1299,Currency_1299
C1300,Currency_1300
C1301,Currency_1301
C1302,Currency_1302
C1303,Currency_1303
C1304,Currency_1304
C1305,Currency_1305
C1306,Currency_1306
C1307,Currency_1307
C1308,Currency_1308
C1309,Currency_1309
C1310,Currency_1310
C1311,Currency_1311
C1312,Currency_1312
C1313,Currency_1313
C1314,Currency_1314
C1315,Currency_1315
C1316,Currency_1316
C1317,Currency_1317
C1318,Currency_1318
C1319,Currency_1319
C1320,Currency_1320
C1321,Currency_1321
C1322,Currency_1322
C1323,Currency_1323
C1324,Currency_1324
C1325,Currency_1325
C1326,Currency_1326
C1327,Currency_1327
C1328,Currency_1328
C1329,Currency_1329
C1330,Currency_1330
C1331,Currency_1331
C1332,Currency_1332
C1333,Currency_1333
C1334,Currency_1334
C1335,Currency_1335
C1336,Currency_1336
C1337,Currency_1337
C1338,Currency_1338
C1339,Currency_1339
C1340,Currency_1340
C1341,Currency_1341
C1342,Currency_1342
C1343,Currency_1343
C1344,Currency_1344
C1345,Currency_1345
C1346,Currency_1346
C1347,Currency_1347
C1348,Currency_1348
C1349,Currency_1349
C1350,Currency_1350
C1351,Currency_1351
C1352,Currency_1352
C1353,Currency_1353
C1354,Currency_1354
C1355,Currency_1355
C1356,Currency_1356
C1357,Currency_1357
C1358,Currency_1358
C1359,Currency_1359
C1360,Currency_1360
C1361,Currency_1361
C1362,Currency_1362
C1363,Currency_1363
C1364,Currency_1364
C1365,Currency_1365
C1366,Currency_1366
C1367,Currency_1367
C1368,Currency_1368
C1369,Currency_1369
C1370,Currency_1370
C1371,Currency_1371
C1372,Currency_1372
C1373,Currency_1373
C1374,Currency_1374
C1375,Currency_1375
C1376,Currency_1376
C1377,Currency_1377
C1378,Currency_1378
C1379,Currency_1379
C1380,Currency_1380
C1381,Currency_1381
C1382,Currency_1382
C1383,Currency_1383
C1384,Currency_1384
C1385,Currency_1385
C1386,Currency_1386
C1387,Currency_1387
C1388,Currency_1388
C1389,Currency_1389
C1390,Currency_1390
C1391,Currency_1391
C1392,Currency_1392
C1393,Currency_1393
C1394,Currency_1394
C1395,Currency_1395
C1396,Currency_1396
C1397,Currency_1397
C1398,Currency_1398
C1399,Currency_1399
C1400,Currency_1400
C1401,Currency_1401
C1402,Currency_1402
C1403,Currency_1403
C1404,Currency_1404
C1405,Currency_1405
C1406,Currency_1406
C1407,Currency_1407
C1408,Currency_1408
C1409,Currency_1409
C1410,Currency_1410
C1411,Currency_1411
C1412,Currency_1412
C1413,Currency_1413
C1414,Currency_1414
C1415,Currency_1415
C1416,Currency_1416
C1417,Currency_1417
C1418,Currency_1418
C1419,Currency_1419
C1420,Currency_1420
C1421,Currency_1421
C1422,Currency_1422
C1423,Currency_1423
C1424,Currency_1424
C1425,Currency_1425
C1426,Currency_1426
C1427,Currency_1427
C1428,Currency_1428
C1429,Currency_1429
C1430,Currency_1430
C1431,Currency_1431
C1432,Currency_1432
C1433,Currency_1433
C1434,Currency_1434
C1435,Currency_1435
C1436,Currency_1436
C1437,Currency_1437
C1438,Currency_1438
C1439,Currency_1439
C1440,Currency_1440
C1441,Currency_1441
C1442,Currency_1442
C1443,Currency_1443
C1444,Currency_1444
C1445,Currency_1445
C1446,Currency_1446
C1447,Currency_1447
C1448,Currency_1448
C1449,Currency_1449
