recordid,tradeid,tradedate,instrumentid,instrumenttype,buysell,quantity,price,currencycode,counterpartyid,tradestatus,traderid,created_ts,variance
17,TRD00000016,2023-12-27,INS029026,EQUITY,SELL,4442,153.77,GBP,CP016110,NEW,4941,2024-04-05 00:27:30,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
18,TRD00000017,2021-07-01,INS024582,BOND,BUY,6613,62.84,USD,CP023456,CANCEL,4972,2022-04-15 12:49:59,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
19,TRD00000018,2023-04-27,INS030234,BOND,SELL,1022,430.55,GBP,CP024385,ACTIVE,188,2020-05-26 16:10:09,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
20,TRD00000019,2020-10-10,INS031714,FX,SELL,2244,447.78,GBP,CP006103,AMEND,9081,2022-07-01 08:17:37,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
21,TRD00000020,2020-08-09,INS041128,FX,SELL,9266,164.24,USD,CP026569,ACTIVE,6142,2021-12-29 06:56:33,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
22,TRD00000021,2024-02-26,INS031055,FX,BUY,1956,130.37,USD,CP023262,CANCEL,3953,2024-01-07 13:14:05,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
23,TRD00000022,2025-06-05,INS017644,FX,SELL,2507,323.13,EUR,CP003363,AMEND,8065,2021-08-02 09:30:53,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
24,TRD00000023,2025-09-03,INS006982,FX,BUY,2480,135.08,EUR,CP022211,NEW,1993,2023-05-26 08:38:52,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
25,TRD00000024,2023-09-21,INS038413,EQUITY,BUY,5608,319.47,GBP,CP015298,ACTIVE,4868,2020-05-12 07:47:16,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
26,TRD00000025,2024-06-24,INS012604,FX,BUY,8527,119.58,INR,CP016239,AMEND,6804,2025-06-23 21:55:52,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
27,TRD00000026,2020-05-10,INS024523,FX,BUY,5746,204.51,EUR,CP028061,AMEND,2590,2020-03-05 11:01:46,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
28,TRD00000027,2025-05-17,INS001187,EQUITY,SELL,8966,115.67,INR,CP010438,AMEND,3295,2024-08-19 19:47:33,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
29,TRD00000028,2022-12-01,INS034788,FX,BUY,2578,178.26,EUR,CP022984,AMEND,7796,2024-01-26 01:36:43,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
30,TRD00000029,2024-10-04,INS023737,FX,BUY,3004,56.1,EUR,CP008625,ACTIVE,5154,2024-03-26 04:16:53,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
31,TRD00000030,2023-05-26,INS034497,BOND,BUY,4587,407.87,GBP,CP038120,CANCEL,6601,2021-06-07 02:07:05,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
32,TRD00000031,2025-03-24,INS033931,FX,SELL,5870,260.08,INR,CP029078,ACTIVE,4386,2022-04-08 21:59:46,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
33,TRD00000032,2021-09-22,INS023176,BOND,BUY,2328,468.25,EUR,CP007302,CANCEL,9428,2022-08-04 14:45:50,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
34,TRD00000033,2023-03-26,INS043209,BOND,BUY,8053,137.84,USD,CP022176,NEW,4423,2020-02-11 20:02:37,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
35,TRD00000034,2022-01-18,INS039244,FX,BUY,1344,111.61,INR,CP038801,ACTIVE,8453,2022-05-01 14:17:44,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
36,TRD00000035,2020-02-20,INS013142,BOND,BUY,5000,109.05,INR,CP018036,AMEND,521,2023-03-29 19:56:46,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
37,TRD00000036,2024-02-04,INS019057,FX,BUY,2263,374.62,GBP,CP021592,CANCEL,7118,2021-10-12 10:25:21,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
38,TRD00000037,2025-08-18,INS031940,FX,SELL,6048,21.99,USD,CP003716,ACTIVE,330,2022-01-19 22:36:08,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
39,TRD00000038,2025-01-13,INS038415,EQUITY,BUY,6387,294.69,GBP,CP003172,CANCEL,4568,2025-07-15 17:57:33,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
40,TRD00000039,2021-04-26,INS028095,EQUITY,BUY,2303,85.35,USD,CP047088,CANCEL,4456,2026-01-22 15:31:55,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
41,TRD00000040,2022-09-17,INS038131,EQUITY,SELL,5257,61.87,INR,CP038815,AMEND,1498,2025-07-26 21:30:15,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
42,TRD00000041,2024-06-12,INS021016,BOND,SELL,6477,21.17,EUR,CP045557,CANCEL,4721,2021-03-23 21:02:01,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
43,TRD00000042,2023-07-05,INS006927,FX,BUY,4167,403.04,INR,CP009410,ACTIVE,6331,2022-08-20 10:04:09,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
44,TRD00000043,2023-03-29,INS021906,EQUITY,BUY,4598,319.46,USD,CP034888,AMEND,6097,2025-01-02 06:05:03,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
45,TRD00000044,2025-02-26,INS028053,EQUITY,BUY,5065,285.7,USD,CP008512,CANCEL,2724,2023-08-31 10:19:54,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
46,TRD00000045,2025-11-12,INS007981,FX,SELL,7962,69.93,INR,CP049102,AMEND,28,2021-09-03 16:07:11,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
47,TRD00000046,2024-07-26,INS018401,BOND,BUY,5028,326.71,EUR,CP049997,AMEND,7936,2024-12-31 23:38:35,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
48,TRD00000047,2022-01-31,INS008541,BOND,SELL,1459,95.46,GBP,CP004974,ACTIVE,5202,2021-10-16 11:09:54,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
49,TRD00000048,2022-09-29,INS031257,EQUITY,BUY,1688,351.92,EUR,CP030137,NEW,1058,2020-04-14 08:28:23,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
50,TRD00000049,2020-12-28,INS030011,FX,BUY,649,473.1,EUR,CP048213,NEW,3428,2023-07-09 08:51:37,"TradeId=rare_value, TradeDate=common_value, InstrumentId=common_value, InstrumentType=common_value, BuySell=common_value, Quantity=positive, Price=positive, CurrencyCode=common_value, CounterpartyId=common_value, TradeStatus=common_value, TraderId=positive, CREATED_TS=rare_value"
